,Other disease,Other trait,Other measurement,Biological process,Immune system disorder,Cardiovascular disease,Neurological disorder,Digestive system disorder,Response to drug,Cardiovascular measurement,Metabolic disorder,Cancer,NR,Inflammatory measurement,Liver enzyme measurement,Lipid or lipoprotein measurement,Hematological measurement,Body measurement,Year
European,257502.0,119878.0,1396885.0,200848.0,89244.0,111919.0,143362.0,87175.0,8467.0,133261.0,54353.0,167757.0,0.0,2528.0,236.0,460392.0,99528.0,398079.0,2010
African,1391.0,0.0,7013.0,226.0,1379.0,0.0,12.0,198.0,40.0,0.0,0.0,0.0,5359.0,0.0,0.0,0.0,0.0,1188.0,2010
African American or Afro-Caribbean,4599.0,0.0,5232.0,687.0,20.0,2895.0,5923.0,1994.0,270.0,0.0,1994.0,79.0,0.0,0.0,0.0,0.0,0.0,743.0,2010
Hispanic or Latin American,709.0,0.0,236.0,0.0,32.0,0.0,34.0,3.0,46.0,858.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Other/Mixed,26491.0,0.0,15561.0,1476.0,2493.0,0.0,28092.0,177.0,1740.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Asian,40349.0,19691.0,94666.0,12025.0,26880.0,26591.0,29217.0,58289.0,2608.0,51761.0,18859.0,32829.0,777.0,10503.0,51307.0,39634.0,8794.0,0.0,2011
European,148248.0,62675.0,802519.0,175962.0,234630.0,338001.0,202555.0,94112.0,9556.0,325705.0,202740.0,282416.0,58599.0,117122.0,194866.0,197237.0,100842.0,28881.0,2011
African,1294.0,0.0,496.0,496.0,798.0,0.0,1103.0,0.0,694.0,0.0,0.0,0.0,107.0,1487.0,0.0,0.0,1717.0,0.0,2011
African American or Afro-Caribbean,4162.0,2610.0,69857.0,0.0,0.0,16869.0,3022.0,8826.0,462.0,15823.0,8651.0,10464.0,0.0,18502.0,0.0,15444.0,16828.0,9864.0,2011
Hispanic or Latin American,1688.0,0.0,4395.0,0.0,0.0,0.0,0.0,3956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,2011
Other/Mixed,3563.0,61.0,23376.0,0.0,0.0,5.0,1331.0,0.0,496.0,1772.0,0.0,0.0,386.0,1772.0,1772.0,1772.0,0.0,21547.0,2011
Asian,43854.0,5947.0,238758.0,12256.0,56035.0,19481.0,3763.0,41890.0,1297.0,28348.0,11300.0,76823.0,3464.0,0.0,0.0,0.0,23751.0,55136.0,2012
European,227666.0,193884.0,1322710.0,12472.0,312422.0,166356.0,182946.0,256740.0,39467.0,44816.0,220306.0,337347.0,22831.0,8688.0,16176.0,58150.0,141755.0,347389.0,2012
African,0.0,0.0,3263.0,0.0,397.0,0.0,87.0,2153.0,260.0,0.0,0.0,0.0,3176.0,0.0,0.0,0.0,0.0,0.0,2012
African American or Afro-Caribbean,0.0,959.0,141968.0,32407.0,0.0,0.0,2011.0,2899.0,2889.0,50004.0,0.0,9509.0,0.0,9117.0,0.0,1456.0,72607.0,82030.0,2012
Hispanic or Latin American,0.0,0.0,38117.0,832.0,0.0,0.0,99.0,0.0,483.0,815.0,815.0,2100.0,0.0,4363.0,815.0,910.0,0.0,35655.0,2012
Other/Mixed,235.0,1362.0,75559.0,1399.0,0.0,5878.0,3837.0,0.0,915.0,0.0,928.0,1503.0,1277.0,0.0,0.0,0.0,0.0,0.0,2012
Asian,28256.0,16609.0,116927.0,14415.0,37053.0,14828.0,24589.0,48540.0,12779.0,37805.0,1007.0,25328.0,6963.0,6692.0,2420.0,5233.0,11328.0,9365.0,2013
European,285848.0,368232.0,1406850.0,267770.0,439606.0,384876.0,413438.0,217855.0,48861.0,215693.0,219386.0,333252.0,166809.0,6819.0,4691.0,609366.0,130034.0,245685.0,2013
African,0.0,0.0,2426.0,0.0,0.0,0.0,1103.0,12316.0,0.0,1188.0,0.0,932.0,0.0,0.0,0.0,0.0,0.0,1188.0,2013
African American or Afro-Caribbean,0.0,6713.0,131702.0,0.0,0.0,1031.0,16328.0,0.0,4520.0,30010.0,0.0,7843.0,225.0,0.0,0.0,23721.0,18389.0,89837.0,2013
Hispanic or Latin American,3337.0,0.0,14349.0,503.0,0.0,1233.0,0.0,8214.0,1908.0,2952.0,2240.0,2600.0,908.0,0.0,0.0,14746.0,0.0,3964.0,2013
Other/Mixed,0.0,346.0,4395.0,1094.0,3079.0,1452.0,50.0,2486.0,703.0,0.0,0.0,4565.0,1669.0,0.0,0.0,0.0,1165.0,502.0,2013
Asian,23468.0,21470.0,280861.0,11126.0,15275.0,15890.0,9951.0,57796.0,1560.0,27470.0,9488.0,64377.0,2216.0,24647.0,0.0,8842.0,64314.0,163911.0,2014
European,239306.0,185408.0,1890965.0,284428.0,122587.0,55358.0,247277.0,100151.0,33296.0,332384.0,139035.0,446064.0,29760.0,44323.0,0.0,230353.0,232472.0,398542.0,2014
African,3485.0,114.0,18130.0,0.0,637.0,57.0,0.0,0.0,0.0,258.0,0.0,10463.0,0.0,0.0,0.0,42990.0,1213.0,0.0,2014
African American or Afro-Caribbean,21429.0,458.0,25844.0,1158.0,1985.0,0.0,13143.0,26465.0,1033.0,0.0,0.0,7974.0,0.0,16388.0,0.0,0.0,34467.0,2224.0,2014
Hispanic or Latin American,12225.0,8.0,15523.0,1367.0,4652.0,0.0,115.0,3336.0,123.0,665.0,0.0,7874.0,0.0,0.0,0.0,10725.0,0.0,1459.0,2014
Other/Mixed,0.0,5741.0,14438.0,953.0,561.0,414.0,1904.0,3356.0,5251.0,117.0,3741.0,4010.0,1868.0,0.0,0.0,0.0,0.0,8.0,2014
Asian,48026.0,25140.0,259930.0,735.0,42909.0,139314.0,33548.0,14965.0,5744.0,66854.0,5761.0,38917.0,0.0,0.0,325.0,93643.0,0.0,19196.0,2015
European,920414.0,464566.0,5342797.0,199939.0,418070.0,582533.0,196953.0,133134.0,216037.0,48341.0,9325.0,1725400.0,58035.0,1845.0,844.0,265438.0,159722.0,4597866.0,2015
African,0.0,879.0,12643.0,13.0,20.0,0.0,1027.0,12158.0,1742.0,3750.0,0.0,0.0,0.0,258.0,0.0,0.0,258.0,0.0,2015
African American or Afro-Caribbean,10712.0,17282.0,61119.0,825.0,8736.0,35312.0,530.0,6193.0,10400.0,2532.0,6442.0,2276.0,0.0,0.0,0.0,2895.0,0.0,4432.0,2015
Hispanic or Latin American,3808.0,67524.0,13330.0,0.0,1896.0,18334.0,4625.0,36.0,4026.0,1497.0,2746.0,3656.0,0.0,0.0,0.0,0.0,0.0,1276.0,2015
Other/Mixed,0.0,24597.0,18621.0,2.0,4274.0,19834.0,6498.0,391.0,3320.0,0.0,1793.0,24.0,0.0,0.0,0.0,3923.0,2547.0,361.0,2015
Asian,34205.0,30940.0,272846.0,57.0,22780.0,46531.0,20075.0,59396.0,5663.0,56104.0,19769.0,81980.0,2951.0,0.0,0.0,14775.0,90954.0,196179.0,2016
European,626717.0,1351788.0,10545949.0,1001478.0,414652.0,2273181.0,2950106.0,668049.0,1985761.0,1442090.0,369694.0,1668409.0,26048.0,1079302.0,18687.0,276043.0,6073246.0,617046.0,2016
African,7415.0,198.0,23972.0,0.0,0.0,0.0,0.0,752.0,540.0,3783.0,0.0,2724.0,983.0,0.0,0.0,0.0,0.0,0.0,2016
African American or Afro-Caribbean,26326.0,5740.0,220977.0,0.0,0.0,24291.0,12836.0,3571.0,56710.0,96313.0,0.0,33236.0,0.0,0.0,0.0,25480.0,62512.0,27072.0,2016
Hispanic or Latin American,0.0,20113.0,262067.0,0.0,1956.0,4586.0,37165.0,7676.0,129198.0,149977.0,0.0,9280.0,0.0,0.0,0.0,23147.0,12491.0,4125.0,2016
Other/Mixed,154.0,721.0,9918.0,0.0,0.0,10099.0,230.0,0.0,2672.0,684.0,4086.0,26.0,558.0,0.0,0.0,8168.0,0.0,4252.0,2016
Asian,124100.0,31115.0,563213.0,127954.0,5986.0,85053.0,111801.0,48736.0,3688.0,35279.0,21176.0,51157.0,11754.0,0.0,0.0,446794.0,59792.0,501124.0,2017
European,2979100.0,1151991.0,14997233.0,2757489.0,812125.0,1233419.0,2330473.0,1292828.0,54358.0,949259.0,1045316.0,2529335.0,306495.0,34032.0,41156.0,3399285.0,608466.0,5474519.0,2017
African,1654.0,579.0,120507.0,1772.0,1084.0,49595.0,4407.0,696.0,2067.0,64452.0,0.0,932.0,2845.0,0.0,0.0,67740.0,556.0,2626.0,2017
African American or Afro-Caribbean,11120.0,10554.0,245799.0,126803.0,5422.0,22959.0,34678.0,67.0,2318.0,19263.0,0.0,38442.0,0.0,202.0,111.0,552.0,17834.0,364944.0,2017
Hispanic or Latin American,52983.0,11989.0,278476.0,71395.0,3888.0,18994.0,24867.0,16842.0,64.0,87032.0,0.0,411.0,1050.0,23618.0,60.0,20336.0,146559.0,105071.0,2017
Other/Mixed,0.0,7311.0,41150.0,2531.0,2479.0,37443.0,80190.0,1089.0,30390.0,27593.0,0.0,96.0,3303.0,0.0,56.0,22156.0,0.0,53483.0,2017
Asian,339374.0,309543.0,3616390.0,130889.0,17887.0,350683.0,142177.0,86769.0,27769.0,810130.0,39503.0,199907.0,6933.0,245431.0,491675.0,408128.0,1521638.0,35400.0,2018
European,10508218.0,11162542.0,55956437.0,6492140.0,2313445.0,10598530.0,7397599.0,10805898.0,56655.0,3346596.0,740132.0,3824023.0,313661.0,1352973.0,13362.0,4292597.0,8994780.0,12759010.0,2018
African,15061.0,5437.0,622169.0,20165.0,0.0,27822.0,924.0,1828.0,4.0,148432.0,0.0,1040.0,0.0,0.0,0.0,11324.0,2104.0,1926.0,2018
African American or Afro-Caribbean,32494.0,61094.0,237727.0,89349.0,2308.0,105433.0,23609.0,17153.0,2852.0,56869.0,8210.0,15488.0,133.0,0.0,0.0,252992.0,16097.0,3069.0,2018
Hispanic or Latin American,27323.0,15584.0,364182.0,34290.0,0.0,45079.0,3873.0,3691.0,1858.0,63803.0,0.0,20614.0,42.0,15895.0,0.0,161332.0,3155.0,8322.0,2018
Other/Mixed,8121.0,74994.0,44228.0,25.0,0.0,177617.0,502.0,309614.0,0.0,9099.0,0.0,0.0,0.0,16162.0,0.0,6313.0,0.0,5406.0,2018
Asian,610749.0,45881.0,2288056.0,549609.0,31170.0,32933.0,151681.0,249418.0,11812.0,248755.0,198157.0,559895.0,11545.0,2354.0,15852.0,565052.0,10460.0,290836.0,2019
European,19111700.0,11961512.0,64694702.0,14895770.0,1904952.0,4399362.0,13438935.0,3324961.0,419783.0,1857625.0,3317232.0,3387706.0,15417.0,135976.0,166149.0,4957563.0,20436.0,15228012.0,2019
African,7288.0,0.0,367276.0,4213.0,4213.0,52071.0,14283.0,36275.0,4765.0,7410.0,4504.0,3762.0,1990.0,31056.0,46260.0,532686.0,147486.0,84756.0,2019
African American or Afro-Caribbean,76486.0,3292.0,903990.0,265012.0,3949.0,113972.0,69830.0,54058.0,7814.0,19820.0,62117.0,2505.0,1990.0,31917.0,0.0,662058.0,66360.0,180049.0,2019
Hispanic or Latin American,81671.0,34141.0,669335.0,88396.0,3164.0,82214.0,20469.0,93870.0,3881.0,114146.0,6617.0,16880.0,0.0,55197.0,8816.0,482997.0,162774.0,199973.0,2019
Other/Mixed,17835.0,353720.0,714612.0,208709.0,3635.0,4340.0,184442.0,4946.0,45938.0,687.0,346501.0,4870.0,1630.0,11611.0,0.0,52897.0,21642.0,717461.0,2019
Asian,4870652.0,470162.0,2854810.0,386056.0,2693936.0,3441410.0,619195.0,2609120.0,9859.0,101136.0,100770.0,4627717.0,13241.0,376581.0,578568.0,586185.0,1585494.0,150457.0,2020
European,35717647.0,14135606.0,65450313.0,2569953.0,4081155.0,14927569.0,13092007.0,6548730.0,214790.0,7438410.0,5271088.0,14773193.0,16539.0,3063665.0,368549.0,7828890.0,20502504.0,1129034.0,2020
African,164175.0,2580.0,77356.0,0.0,0.0,0.0,9814.0,2201.0,2419.0,5821.0,0.0,1208.0,379.0,3464.0,0.0,4820.0,0.0,9.0,2020
African American or Afro-Caribbean,62291.0,305404.0,581672.0,4970.0,7347.0,26015.0,356470.0,119786.0,3561.0,207262.0,0.0,4985.0,0.0,0.0,0.0,79694.0,178388.0,2242.0,2020
Hispanic or Latin American,251816.0,149957.0,355702.0,11010.0,0.0,4586.0,147776.0,41698.0,9927.0,215997.0,0.0,2193.0,0.0,13627.0,0.0,102079.0,383595.0,5138.0,2020
Other/Mixed,968426.0,3458.0,2272641.0,0.0,116284.0,507002.0,572198.0,321149.0,2301.0,30150.0,0.0,89421.0,3458.0,1350893.0,0.0,35101.0,9385037.0,15554.0,2020
Asian,18733880.0,6172865.0,16769465.0,107937.0,6785928.0,5403484.0,5154901.0,6673082.0,240474.0,648241.0,756230.0,6116948.0,697056.0,690577.0,1210690.0,3394499.0,3602067.0,1845098.0,2021
European,836155368.0,1014709912.0,839049793.0,19661525.0,120368335.0,167436676.0,188212337.0,200841614.0,1574411.0,6577654.0,29185186.0,233674302.0,14625201.0,5623095.0,15417825.0,29363641.0,45997886.0,36324791.0,2021
African,187462.0,13325.0,486804.0,378.0,7305.0,10059.0,243.0,4249.0,1329.0,4674.0,15365.0,93510.0,0.0,43852.0,76343.0,111612.0,104799.0,0.0,2021
African American or Afro-Caribbean,7140.0,61114.0,210215.0,87725.0,5469.0,10700.0,145284.0,9915.0,36.0,10824.0,0.0,0.0,0.0,64804.0,0.0,562.0,353915.0,3636.0,2021
Hispanic or Latin American,1054945.0,75336.0,1134481.0,3797.0,0.0,2892.0,6232.0,71849.0,2684.0,2892.0,1497.0,15906.0,0.0,112558.0,0.0,1196.0,506834.0,180125.0,2021
Other/Mixed,5894627.0,641619.0,3298490.0,821.0,6658.0,995638.0,34745.0,386219.0,33450.0,430.0,0.0,44096.0,0.0,0.0,0.0,460160.0,239331.0,1913046.0,2021
Asian,67973.0,54393.0,961539.0,11316.0,19749.0,10470.0,41495.0,606386.0,6041.0,5197.0,93087.0,24685.0,0.0,0.0,3832.0,50100.0,451.0,546725.0,2022
European,6924075.0,1030462.0,190583163.0,2562725.0,2858751.0,5062738.0,11034736.0,1104041.0,41041.0,2129541.0,1271060.0,1861426.0,0.0,2007387.0,4131743.0,44223828.0,11124213.0,9467611.0,2022
African,699454.0,0.0,302202.0,0.0,0.0,11.0,0.0,4852.0,552.0,2394.0,0.0,0.0,0.0,0.0,0.0,140180.0,0.0,127796.0,2022
African American or Afro-Caribbean,21867.0,38608.0,59869.0,159882.0,0.0,258659.0,0.0,60334.0,330.0,687.0,0.0,7522.0,0.0,0.0,74728.0,10305.0,26778.0,0.0,2022
Hispanic or Latin American,362147.0,40393.0,252254.0,63046.0,0.0,117046.0,0.0,54834.0,392.0,78.0,0.0,784.0,0.0,0.0,30236.0,0.0,0.0,249836.0,2022
Other/Mixed,1140255.0,0.0,1086235.0,0.0,0.0,155154.0,202.0,0.0,0.0,30557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090600.0,2022
