,Broader,N,PUBMEDID,AUTHOR,parentterm,STAGE,DATE,ACCESSION,DiseaseOrTrait
6160,European,997.0,17668382.0,Salonen JT,Metabolic disorder,initial,2007-06-26,GCST000049,Type 2 diabetes
8721,European,5349.0,17668382.0,Salonen JT,Metabolic disorder,replication,2007-06-26,GCST000049,Type 2 diabetes
8600,European,5026.0,17603472.0,Gudbjartsson DF,Cardiovascular disease,initial,2007-07-01,GCST000051,Atrial fibrillation/atrial flutter
10391,European,17810.0,17603472.0,Gudbjartsson DF,Cardiovascular disease,replication,2007-07-01,GCST000051,Atrial fibrillation/atrial flutter
8610,European,5050.0,17603485.0,Gudmundsson J,Cancer,replication,2007-07-01,GCST000050,Prostate cancer
3330,Asian,3169.0,17603472.0,Gudbjartsson DF,Cardiovascular disease,replication,2007-07-01,GCST000051,Atrial fibrillation/atrial flutter
10023,European,12791.0,17603485.0,Gudmundsson J,Cancer,initial,2007-07-01,GCST000050,Prostate cancer
9793,European,10472.0,17618283.0,Zanke BW,Cancer,replication,2007-07-08,GCST000052,Colorectal cancer
10008,European,12580.0,17618284.0,Tomlinson I,Cancer,replication,2007-07-08,GCST000053,Colorectal cancer
6972,European,1890.0,17618284.0,Tomlinson I,Cancer,initial,2007-07-08,GCST000053,Colorectal cancer
7435,European,2503.0,17632545.0,Hakonarson H,Metabolic disorder,replication,2007-07-15,GCST000054,Type 1 diabetes
12835,Hispanic or Latin American,334.0,17632509.0,Buch S,Digestive system disorder,replication,2007-07-15,GCST000055,Gallstone disease
7771,European,3105.0,17632545.0,Hakonarson H,Metabolic disorder,initial,2007-07-15,GCST000054,Type 1 diabetes
5624,European,640.0,17632509.0,Buch S,Digestive system disorder,initial,2007-07-15,GCST000055,Gallstone disease
7665,European,2868.0,17632509.0,Buch S,Digestive system disorder,replication,2007-07-15,GCST000055,Gallstone disease
8515,European,4864.0,17634449.0,Samani NJ,Cardiovascular disease,initial,2007-07-18,GCST000057,Coronary heart disease
7333,European,2336.0,17637780.0,Winkelmann J,Neurological disorder,replication,2007-07-18,GCST000056,Restless legs syndrome
7078,European,2045.0,17637780.0,Winkelmann J,Neurological disorder,initial,2007-07-18,GCST000056,Restless legs syndrome
7453,European,2519.0,17634449.0,Samani NJ,Cardiovascular disease,replication,2007-07-18,GCST000057,Coronary heart disease
7239,European,2206.0,17634447.0,Stefansson H,Neurological disorder,replication,2007-07-19,GCST000058,Restless legs syndrome
5361,European,486.0,17641165.0,Fellay J,"Biological process, Other measurement, Other disease",initial,2007-07-19,GCST000059,HIV-1 viral setpoint
10247,European,15970.0,17634447.0,Stefansson H,Neurological disorder,initial,2007-07-19,GCST000058,Restless legs syndrome
4795,European,140.0,17641165.0,Fellay J,"Biological process, Other measurement, Other disease",replication,2007-07-19,GCST000059,HIV-1 viral setpoint
8468,European,4741.0,17658951.0,Scuteri A,"Other measurement, Liver enzyme measurement, Body measurement, Cardiovascular measurement, Inflammatory measurement, Lipid or lipoprotein measurement, Biological process, Metabolic disorder",initial,2007-07-20,GCST000060,Obesity-related traits
819,African American or Afro-Caribbean,968.0,17658951.0,Scuteri A,"Other measurement, Liver enzyme measurement, Body measurement, Cardiovascular measurement, Inflammatory measurement, Lipid or lipoprotein measurement, Biological process, Metabolic disorder",replication,2007-07-20,GCST000060,Obesity-related traits
12987,Hispanic or Latin American,824.0,17658951.0,Scuteri A,"Other measurement, Liver enzyme measurement, Body measurement, Cardiovascular measurement, Inflammatory measurement, Lipid or lipoprotein measurement, Biological process, Metabolic disorder",replication,2007-07-20,GCST000060,Obesity-related traits
6623,European,1471.0,17658951.0,Scuteri A,"Other measurement, Liver enzyme measurement, Body measurement, Cardiovascular measurement, Inflammatory measurement, Lipid or lipoprotein measurement, Biological process, Metabolic disorder",replication,2007-07-20,GCST000060,Obesity-related traits
7318,European,2320.0,17611496.0,Moffatt MF,Other disease,replication,2007-07-26,GCST000061,Asthma
7203,European,2187.0,17611496.0,Moffatt MF,Other disease,initial,2007-07-26,GCST000061,Asthma
8675,European,5224.0,17660530.0,Hafler DA,Immune system disorder,initial,2007-07-29,GCST000062,Multiple sclerosis
9153,European,7136.0,17660530.0,Hafler DA,Immune system disorder,replication,2007-07-29,GCST000062,Multiple sclerosis
6670,European,1533.0,17667963.0,Shifman S,"Neurological disorder, Other measurement",replication,2007-07-31,GCST000063,Neuroticism
7100,European,2054.0,17667963.0,Shifman S,"Neurological disorder, Other measurement",initial,2007-07-31,GCST000063,Neuroticism
5279,European,438.0,17671248.0,Dunckley T,Neurological disorder,replication,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
1602,Asian,8.0,17671248.0,Dunckley T,Neurological disorder,replication,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
12769,Hispanic or Latin American,87.0,17671248.0,Dunckley T,Neurological disorder,replication,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
6029,European,928.0,17671248.0,Dunckley T,Neurological disorder,initial,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
1840,Asian,188.0,17653210.0,Maeda S,Metabolic disorder,initial,2007-08-01,GCST000064,Type 2 diabetes nephropathy
13810,Other/Mixed,192.0,17671248.0,Dunckley T,Neurological disorder,replication,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
17,African,35.0,17671248.0,Dunckley T,Neurological disorder,replication,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
13615,Other/Mixed,3.0,17671248.0,Dunckley T,"Neurological disorder, Neurological disorder",replication,2007-08-01,GCST000065,Amyotrophic lateral sclerosis
8960,European,6309.0,17684544.0,Franke A,Digestive system disorder,replication,2007-08-08,GCST000066,Crohn's disease
5840,European,792.0,17684544.0,Franke A,Digestive system disorder,initial,2007-08-08,GCST000066,Crohn's disease
10155,European,14649.0,17690259.0,Thorleifsson G,Neurological disorder,initial,2007-08-09,GCST000067,Glaucoma (exfoliation)
5183,European,397.0,17690259.0,Thorleifsson G,Neurological disorder,replication,2007-08-09,GCST000067,Glaucoma (exfoliation)
8550,European,4921.0,17767157.0,Weedon MN,"Other measurement, Body measurement",initial,2007-09-02,GCST000068,Height
4728,European,90.0,17767159.0,Menzel S,Hematological measurement,replication,2007-09-02,GCST000069,F-cell distribution
4852,European,179.0,17767159.0,Menzel S,Hematological measurement,initial,2007-09-02,GCST000069,F-cell distribution
10833,European,29098.0,17767157.0,Weedon MN,"Other measurement, Body measurement",replication,2007-09-02,GCST000068,Height
7957,European,3380.0,17804836.0,Plenge RM,Immune system disorder,initial,2007-09-05,GCST000070,Rheumatoid arthritis
6327,European,1146.0,17804789.0,Raelson JV,Digestive system disorder,initial,2007-09-05,GCST000071,Crohn's disease
7787,European,3141.0,17804789.0,Raelson JV,Digestive system disorder,replication,2007-09-05,GCST000071,Crohn's disease
7684,European,2911.0,17804836.0,Plenge RM,Immune system disorder,replication,2007-09-05,GCST000070,Rheumatoid arthritis
6895,European,1782.0,17827064.0,van Es MA,Neurological disorder,replication,2007-09-07,GCST000072,Amyotrophic lateral sclerosis
6007,European,911.0,17827064.0,van Es MA,Neurological disorder,initial,2007-09-07,GCST000072,Amyotrophic lateral sclerosis
14183,Other/Mixed,2834.0,17846125.0,Hanson RL,Metabolic disorder,replication,2007-09-10,GCST000074,Type 2 diabetes
8495,European,4815.0,17848626.0,Florez JC,"Metabolic disorder, Other measurement",replication,2007-09-10,GCST000073,Type 2 diabetes and 6 quantitative traits
5227,European,419.0,17846126.0,Rampersaud E,Metabolic disorder,initial,2007-09-10,GCST000076,Type 2 diabetes
6975,European,1892.0,17846125.0,Hanson RL,Metabolic disorder,replication,2007-09-10,GCST000074,Type 2 diabetes
12963,Hispanic or Latin American,760.0,17846125.0,Hanson RL,Metabolic disorder,replication,2007-09-10,GCST000074,Type 2 diabetes
13965,Other/Mixed,634.0,17846126.0,Rampersaud E,Metabolic disorder,replication,2007-09-10,GCST000076,Type 2 diabetes
13966,Other/Mixed,634.0,17848626.0,Florez JC,"Metabolic disorder, Other measurement",replication,2007-09-10,GCST000073,Type 2 diabetes and 6 quantitative traits
7740,European,3022.0,17846126.0,Rampersaud E,Metabolic disorder,replication,2007-09-10,GCST000076,Type 2 diabetes
12905,Hispanic or Latin American,561.0,17846124.0,Hayes MG,Metabolic disorder,initial,2007-09-10,GCST000075,Type 2 diabetes
6273,European,1087.0,17848626.0,Florez JC,"Metabolic disorder, Other measurement",initial,2007-09-10,GCST000073,Type 2 diabetes and 6 quantitative traits
12921,Hispanic or Latin American,603.0,17848626.0,Florez JC,"Metabolic disorder, Other measurement",replication,2007-09-10,GCST000073,Type 2 diabetes and 6 quantitative traits
12920,Hispanic or Latin American,603.0,17846126.0,Rampersaud E,Metabolic disorder,replication,2007-09-10,GCST000076,Type 2 diabetes
14056,Other/Mixed,895.0,17846125.0,Hanson RL,Metabolic disorder,initial,2007-09-10,GCST000074,Type 2 diabetes
6642,European,1506.0,17846124.0,Hayes MG,Metabolic disorder,replication,2007-09-10,GCST000075,Type 2 diabetes
14055,Other/Mixed,895.0,17846124.0,Hayes MG,Metabolic disorder,replication,2007-09-10,GCST000075,Type 2 diabetes
6439,European,1238.0,17903301.0,Vasan RS,Cardiovascular measurement,initial,2007-09-19,GCST000089,Exercise treadmill test traits
5703,European,694.0,17903297.0,Seshadri S,Other measurement,initial,2007-09-19,GCST000098,Cognitive test performance
5789,European,747.0,17903306.0,Newton-Cheh C,Cardiovascular measurement,initial,2007-09-19,GCST000086,Heart rate variability traits
6441,European,1238.0,17903301.0,Vasan RS,"Other trait, Other measurement",initial,2007-09-19,GCST000110,Echocardiographic traits
6511,European,1341.0,17903300.0,Fox CS,"Body measurement, Other measurement",initial,2007-09-19,GCST000090,Body mass index
9357,European,8100.0,17903299.0,Kathiresan S,"Lipid or lipoprotein measurement, Other measurement",replication,2007-09-19,GCST000078,Lipid traits
6440,European,1238.0,17903301.0,Vasan RS,Other measurement,initial,2007-09-19,GCST000102,Endothelial function traits
5716,European,705.0,17903297.0,Seshadri S,Other measurement,initial,2007-09-19,GCST000088,Volumetric brain MRI
6266,European,1079.0,17903300.0,Fox CS,Body measurement,initial,2007-09-19,GCST000084,Waist circumference
6201,European,1012.0,17903293.0,Benjamin EJ,"Other measurement, Liver enzyme measurement, Cardiovascular measurement, Inflammatory measurement",initial,2007-09-19,GCST000083,Select biomarker traits
5981,European,886.0,17903294.0,Yang Q,Other measurement,initial,2007-09-19,GCST000082,Factor VII
6247,European,1062.0,17903294.0,Yang Q,"Hematological measurement, Inflammatory measurement, Other measurement, Cardiovascular measurement, Biological process",initial,2007-09-19,GCST000080,Hemostatic factors and hematological phenotypes
7009,European,1951.0,17903306.0,Newton-Cheh C,Cardiovascular measurement,initial,2007-09-19,GCST000111,Electrocardiographic traits
6274,European,1087.0,17903299.0,Kathiresan S,"Lipid or lipoprotein measurement, Other measurement",initial,2007-09-19,GCST000078,Lipid traits
4824,European,165.0,17911428.0,Cervino AC,Immune system disorder,initial,2007-10-08,GCST000112,Lupus
6973,European,1890.0,17934461.0,Broderick P,Cancer,initial,2007-10-14,GCST000113,Colorectal cancer
10069,European,13475.0,17934461.0,Broderick P,Cancer,replication,2007-10-14,GCST000113,Colorectal cancer
2331,Asian,737.0,17999355.0,Stokowski RP,"Other trait, Other measurement",initial,2007-10-15,GCST000114,Skin pigmentation
1917,Asian,231.0,17999355.0,Stokowski RP,"Other trait, Other measurement",replication,2007-10-15,GCST000114,Skin pigmentation
8189,European,3932.0,17952075.0,Sulem P,Other trait,replication,2007-10-21,GCST000118,Blond vs. brown hair color
7719,European,2986.0,17952075.0,Sulem P,Other trait,initial,2007-10-21,GCST000118,Blond vs. brown hair color
5184,European,397.0,17982456.0,Plenge RM,Immune system disorder,initial,2007-11-04,GCST000122,Rheumatoid arthritis
6822,European,1707.0,17982456.0,Plenge RM,Immune system disorder,replication,2007-11-04,GCST000122,Rheumatoid arthritis
8328,European,4305.0,17997608.0,Li S,"Metabolic disorder, Other measurement",initial,2007-11-09,GCST000123,Urate levels
6485,European,1301.0,17997608.0,Li S,"Metabolic disorder, Other measurement",replication,2007-11-09,GCST000123,Urate levels
5669,European,667.0,17998437.0,Li H,Neurological disorder,replication,2007-11-12,GCST000124,Alzheimer's disease
6632,European,1489.0,17998437.0,Li H,Neurological disorder,initial,2007-11-12,GCST000124,Alzheimer's disease
1993,Asian,311.0,18075462.0,Suzuki S,Cardiovascular disease,replication,2007-11-17,GCST000125,Coronary spasm
1729,Asian,100.0,18075462.0,Suzuki S,Cardiovascular disease,initial,2007-11-17,GCST000125,Coronary spasm
5258,European,432.0,18057069.0,Cronin S,Neurological disorder,initial,2007-12-07,GCST000126,Amyotrophic lateral sclerosis
6613,European,1458.0,18057069.0,Cronin S,Neurological disorder,replication,2007-12-07,GCST000126,Amyotrophic lateral sclerosis
7248,European,2225.0,18084291.0,van Es MA,Neurological disorder,replication,2007-12-16,GCST000127,Amyotrophic lateral sclerosis
6614,European,1458.0,18084291.0,van Es MA,Neurological disorder,initial,2007-12-16,GCST000127,Amyotrophic lateral sclerosis
6741,European,1603.0,18073375.0,Duggan D,Cancer,replication,2007-12-19,GCST000128,Prostate cancer
726,African American or Afro-Caribbean,556.0,18073375.0,Duggan D,Cancer,replication,2007-12-19,GCST000128,Prostate cancer
7654,European,2834.0,18073375.0,Duggan D,Cancer,initial,2007-12-19,GCST000128,Prostate cancer
7271,European,2269.0,18159244.0,Hinney A,Metabolic disorder,replication,2007-12-26,GCST000129,Obesity (early onset extreme)
6034,European,929.0,18159244.0,Hinney A,Metabolic disorder,initial,2007-12-26,GCST000129,Obesity (early onset extreme)
7015,European,1955.0,18179892.0,Wallace C,"Metabolic disorder, Other measurement",initial,2008-01-10,GCST000130,Urate levels
7014,European,1955.0,18179892.0,Wallace C,"Lipid or lipoprotein measurement, Other measurement",initial,2008-01-10,GCST000131,LDL cholesterol
8572,European,4955.0,18179892.0,Wallace C,"Metabolic disorder, Other measurement",replication,2008-01-10,GCST000130,Urate levels
8571,European,4955.0,18179892.0,Wallace C,"Lipid or lipoprotein measurement, Other measurement",replication,2008-01-10,GCST000131,LDL cholesterol
1217,African American or Afro-Caribbean,3860.0,18193045.0,Sanna S,"Other measurement, Body measurement",replication,2008-01-13,GCST000136,Height
10424,European,18544.0,18193044.0,Kathiresan S,"Lipid or lipoprotein measurement, Other measurement",replication,2008-01-13,GCST000134,LDL cholesterol
10425,European,18554.0,18193044.0,Kathiresan S,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000133,HDL cholesterol
6194,European,1005.0,18193046.0,Kooner JS,Lipid or lipoprotein measurement,initial,2008-01-13,GCST000137,Triglycerides
9906,European,11437.0,18193043.0,Willer CJ,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000135,HDL cholesterol
7612,European,2758.0,18193044.0,Kathiresan S,"Lipid or lipoprotein measurement, Other measurement",initial,2008-01-13,GCST000134,LDL cholesterol
7611,European,2758.0,18193044.0,Kathiresan S,Lipid or lipoprotein measurement,initial,2008-01-13,GCST000138,Triglycerides
2505,Asian,1006.0,18193046.0,Kooner JS,Lipid or lipoprotein measurement,initial,2008-01-13,GCST000137,Triglycerides
9033,European,6669.0,18193045.0,Sanna S,"Other measurement, Body measurement",initial,2008-01-13,GCST000136,Height
10426,European,18554.0,18193044.0,Kathiresan S,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000138,Triglycerides
9695,European,9741.0,18193043.0,Willer CJ,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000139,Triglycerides
9534,European,8684.0,18193043.0,Willer CJ,Lipid or lipoprotein measurement,initial,2008-01-13,GCST000139,Triglycerides
14165,Other/Mixed,2528.0,18193046.0,Kooner JS,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000137,Triglycerides
9529,European,8656.0,18193043.0,Willer CJ,Lipid or lipoprotein measurement,initial,2008-01-13,GCST000135,HDL cholesterol
10033,European,12981.0,18193043.0,Willer CJ,"Lipid or lipoprotein measurement, Other measurement",replication,2008-01-13,GCST000132,LDL cholesterol
9515,European,8589.0,18193043.0,Willer CJ,"Lipid or lipoprotein measurement, Other measurement",initial,2008-01-13,GCST000132,LDL cholesterol
7610,European,2758.0,18193044.0,Kathiresan S,Lipid or lipoprotein measurement,initial,2008-01-13,GCST000133,HDL cholesterol
9082,European,6827.0,18193046.0,Kooner JS,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000137,Triglycerides
10674,European,23684.0,18193045.0,Sanna S,"Other measurement, Body measurement",replication,2008-01-13,GCST000136,Height
2578,Asian,1181.0,18193046.0,Kooner JS,Lipid or lipoprotein measurement,replication,2008-01-13,GCST000137,Triglycerides
4704,European,81.0,18195134.0,Byun E,Response to drug,replication,2008-01-14,GCST000140,Response to interferon beta therapy
4915,European,206.0,18195134.0,Byun E,Response to drug,initial,2008-01-14,GCST000140,Response to interferon beta therapy
7772,European,3105.0,18198356.0,Hakonarson H,Metabolic disorder,initial,2008-01-15,GCST000141,Type 1 diabetes
7785,European,3136.0,18198356.0,Hakonarson H,Metabolic disorder,replication,2008-01-15,GCST000141,Type 1 diabetes
8434,European,4651.0,18204098.0,Hom G,Immune system disorder,initial,2008-01-20,GCST000144,Systemic lupus erythematosus
