,Other disease,Other trait,Other measurement,Biological process,Immune system disorder,Cardiovascular disease,Neurological disorder,Digestive system disorder,Response to drug,Cardiovascular measurement,Metabolic disorder,Cancer,NR,Inflammatory measurement,Liver enzyme measurement,Lipid or lipoprotein measurement,Hematological measurement,Body measurement,Year
African,481.0,0.0,17955.0,17.0,17.0,0.0,413.0,15483.0,203.0,0.0,0.0,0.0,4637.0,0.0,0.0,0.0,0.0,2766.0,2015
African American or Afro-Caribbean,19326.0,194.0,40087.0,4709.0,3140.0,11.0,2958.0,0.0,16965.0,0.0,2887.0,4679.0,1657.0,0.0,0.0,0.0,0.0,61953.0,2015
Hispanic or Latin American,923.0,6134.0,6812.0,0.0,0.0,3537.0,786.0,0.0,5064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
Other/Mixed,2445.0,11040.0,18512.0,17.0,5580.0,10395.0,0.0,1383.0,1333.0,0.0,1372.0,0.0,3950.0,0.0,0.0,0.0,0.0,0.0,2015
Asian,15452.0,1158.0,208703.0,302.0,41703.0,59423.0,51528.0,101545.0,2015.0,55570.0,29243.0,133179.0,2112.0,0.0,0.0,66923.0,627.0,109850.0,2016
European,72371.0,188696.0,2426336.0,387684.0,84355.0,693184.0,829022.0,349874.0,22010.0,615932.0,10724.0,273072.0,11293.0,0.0,17348.0,348141.0,168629.0,122345.0,2016
African,3219.0,0.0,18185.0,0.0,0.0,0.0,0.0,244.0,244.0,33.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,2016
African American or Afro-Caribbean,0.0,0.0,64631.0,2660.0,0.0,30437.0,7250.0,10761.0,2725.0,36489.0,0.0,16917.0,1657.0,0.0,0.0,11333.0,1196.0,7960.0,2016
Hispanic or Latin American,323.0,8195.0,32197.0,0.0,0.0,4656.0,6938.0,12144.0,2626.0,4632.0,0.0,0.0,0.0,0.0,0.0,32904.0,7913.0,3379.0,2016
Other/Mixed,2050.0,123902.0,23935.0,0.0,0.0,87776.0,230.0,0.0,21.0,0.0,2951.0,28.0,967.0,0.0,0.0,73860.0,98334.0,2102.0,2016
Asian,17690.0,15927.0,538442.0,1077.0,8181.0,234036.0,14343.0,95091.0,1916.0,43534.0,16534.0,35725.0,10335.0,2366.0,676.0,261176.0,5358.0,34562.0,2017
European,87133.0,20048.0,4185103.0,1583625.0,201929.0,419945.0,784189.0,148921.0,5625.0,802623.0,16749.0,261914.0,26683.0,9888.0,39552.0,39552.0,64947.0,6002290.0,2017
African,193.0,480.0,14320.0,948.0,122.0,6562.0,0.0,10701.0,615.0,8374.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,11554.0,2017
African American or Afro-Caribbean,0.0,2093.0,144571.0,35815.0,0.0,22889.0,4413.0,0.0,353.0,52045.0,0.0,8084.0,0.0,0.0,0.0,0.0,0.0,129079.0,2017
Hispanic or Latin American,636.0,938.0,74604.0,149.0,0.0,18487.0,8048.0,7820.0,579.0,50192.0,0.0,6050.0,463.0,14400.0,0.0,0.0,74072.0,707.0,2017
Other/Mixed,0.0,589.0,39484.0,282.0,1242.0,0.0,0.0,4377.0,448.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
Asian,155505.0,51472.0,3637446.0,590092.0,54243.0,48083.0,72739.0,15434.0,3497.0,559220.0,133684.0,76370.0,5986.0,0.0,0.0,2996.0,626.0,19549.0,2018
European,3042972.0,620672.0,8442709.0,1493882.0,424295.0,1425383.0,404674.0,125023.0,9698.0,1117616.0,115833.0,171157.0,6979.0,4298.0,4298.0,5362.0,15280.0,1593740.0,2018
African,16140.0,1797.0,87536.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,1552.0,0.0,0.0,0.0,2184.0,0.0,8261.0,2018
African American or Afro-Caribbean,9049.0,4037.0,31188.0,29909.0,0.0,4599.0,6218.0,0.0,5858.0,6271.0,0.0,10913.0,0.0,0.0,0.0,0.0,1015.0,0.0,2018
Hispanic or Latin American,17164.0,4115.0,245163.0,54471.0,0.0,322.0,0.0,4756.0,3527.0,13905.0,8670.0,7567.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
Other/Mixed,5039.0,0.0,3846.0,0.0,0.0,40333.0,0.0,16857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.0,0.0,0.0,2018
Asian,7685.0,16327.0,1393754.0,692915.0,6974.0,734.0,17088.0,17099.0,3081.0,3516.0,31624.0,124655.0,1451.0,0.0,12000.0,2251286.0,0.0,84187.0,2019
European,843439.0,168194.0,8591027.0,2353229.0,3534.0,464277.0,2975242.0,282085.0,252925.0,268938.0,2104579.0,352394.0,231012.0,24776.0,0.0,5412818.0,407.0,1973699.0,2019
African,13805.0,0.0,199406.0,9636.0,0.0,0.0,0.0,3461.0,0.0,0.0,0.0,3362.0,0.0,0.0,0.0,126541.0,0.0,0.0,2019
African American or Afro-Caribbean,11405.0,1427.0,80706.0,43168.0,0.0,16467.0,9823.0,94.0,895.0,23707.0,69.0,6010.0,0.0,6743.0,0.0,88179.0,20830.0,0.0,2019
Hispanic or Latin American,1025.0,0.0,379097.0,172360.0,0.0,0.0,27636.0,1643.0,0.0,15809.0,878.0,4001.0,1121.0,0.0,0.0,620676.0,4777.0,0.0,2019
Other/Mixed,1042.0,0.0,824.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,2848.0,0.0,0.0,0.0,0.0,31592.0,0.0,0.0,2019
Asian,40851.0,21942.0,219873.0,201.0,13739.0,28887.0,66380.0,4460.0,47.0,46192.0,3509.0,69671.0,1949.0,0.0,19257.0,72911.0,0.0,22002.0,2020
European,1595257.0,1099111.0,11692667.0,46079.0,1151906.0,1551374.0,1509808.0,147475.0,11079.0,1764593.0,1926361.0,41052.0,508.0,3037.0,1896.0,1267893.0,1896.0,55.0,2020
African,17797.0,0.0,32063.0,0.0,0.0,223.0,0.0,0.0,223.0,3212.0,0.0,0.0,0.0,0.0,0.0,2510.0,0.0,0.0,2020
African American or Afro-Caribbean,1043.0,64513.0,236204.0,15734.0,0.0,63282.0,50823.0,0.0,0.0,95155.0,0.0,1622.0,0.0,0.0,0.0,291155.0,0.0,57.0,2020
Hispanic or Latin American,5816.0,252144.0,507838.0,3886.0,0.0,22802.0,189088.0,0.0,0.0,159438.0,0.0,1166.0,0.0,0.0,0.0,139596.0,0.0,783.0,2020
Other/Mixed,480502.0,0.0,10659.0,0.0,0.0,9061.0,108.0,0.0,108.0,2695.0,0.0,0.0,0.0,0.0,0.0,385888.0,0.0,2587.0,2020
Asian,327652.0,19780.0,737101.0,139768.0,2143.0,46680.0,27223.0,1058113.0,5479.0,2708.0,14213.0,44609.0,9871.0,1813.0,373366.0,681.0,5493.0,532534.0,2021
European,11716713.0,6373457.0,53144276.0,16983.0,976392.0,3016803.0,2817513.0,3508517.0,6425.0,121418.0,247110.0,4409082.0,237534.0,235612.0,1280766.0,465171.0,2718890.0,4148144.0,2021
African,6072.0,0.0,84870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,405.0,0.0,0.0,0.0,15714.0,0.0,2021
African American or Afro-Caribbean,256210.0,138.0,101870.0,0.0,0.0,790.0,9676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5355.0,10694.0,58138.0,2021
Hispanic or Latin American,893904.0,266.0,63934.0,0.0,0.0,0.0,0.0,533308.0,0.0,0.0,440756.0,401.0,0.0,0.0,0.0,0.0,7287.0,111183.0,2021
Other/Mixed,0.0,1590.0,26721.0,409448.0,0.0,0.0,0.0,236554.0,0.0,0.0,0.0,0.0,0.0,1854640.0,0.0,0.0,6092988.0,22728.0,2021
Asian,665.0,67880.0,807442.0,0.0,0.0,0.0,6562.0,1226.0,3086.0,768.0,2662.0,11471.0,0.0,0.0,0.0,2172.0,0.0,0.0,2022
European,60322.0,81559.0,18401572.0,565948.0,63464.0,0.0,0.0,388804.0,2384.0,48846.0,0.0,32712.0,0.0,0.0,0.0,1220350.0,0.0,1157144.0,2022
African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
African American or Afro-Caribbean,1632.0,5366.0,2645953.0,552166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Hispanic or Latin American,0.0,2754.0,1388120.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31293.0,2022
Other/Mixed,0.0,0.0,0.0,552166.0,0.0,0.0,0.0,0.0,0.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
