DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2009-05-07	19401414	Takeuchi F	2009-04-29	Diabetes	www.ncbi.nlm.nih.gov/pubmed/19401414	Confirmation of multiple risk Loci and genetic impacts by a genome-wide association study of type 2 diabetes in the Japanese population.	Type 2 diabetes	519 Japanese ancestry cases, 503 Japanese ancestry controls	5,110 Japanese ancestry cases, 6,867 Japanese ancestry controls	Illumina [482625]	7	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST000383	Genome-wide genotyping array
2012-01-20	22210626	Mead S	2011-12-30	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22210626	Genome-wide association study in multiple human prion diseases suggests genetic risk factors additional to PRNP.	Prion diseases	1,281 European ancestry cases, 6,015 European ancestry controls, 290 Papua New Guinean ancestry cases, 286 Papua New Guinean ancestry controls	NA	Illumina [NR] (imputed)	11	prion disease	http://www.ebi.ac.uk/efo/EFO_0004720	GCST001366	Genome-wide genotyping array
2010-03-30	20212171	Buil A	2010-03-08	Blood	www.ncbi.nlm.nih.gov/pubmed/20212171	C4BPB/C4BPA is a new susceptibility locus for venous thrombosis with unknown protein S-independent mechanism: results from genome-wide association and gene expression analyses followed by case-control studies.	C4b binding protein levels	352 European ancestry related individuals	NA	Illumina [283437]	1	C4BP measurement	http://www.ebi.ac.uk/efo/EFO_0004572	GCST000621	Genome-wide genotyping array
2009-12-29	20031579	Tarasov KV	2009-04-01	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/20031579	COL4A1 is associated with arterial stiffness by genome-wide association scan.	Arterial stiffness	4,221 Sardinian individuals	1,828 Sardinian individuals, 813 Old Order Amish individuals	Affymetrix [362129] (imputed)	1	arterial stiffness measurement	http://www.ebi.ac.uk/efo/EFO_0004517	GCST000370	Genome-wide genotyping array
2008-09-15	17641165	Fellay J	2007-07-19	Science	www.ncbi.nlm.nih.gov/pubmed/17641165	A whole-genome association study of major determinants for host control of HIV-1.	HIV-1 viral setpoint	486 European ancestry cases	140 European ancestry cases	Illumina [535101]	0	response to virus	http://purl.obolibrary.org/obo/GO_0009615	GCST000059	Genome-wide genotyping array
2009-04-03	18711367	Yasuda K	2008-08-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18711367	Variants in KCNQ1 are associated with susceptibility to type 2 diabetes mellitus.	Type 2 diabetes	187 Japanese ancestry cases, 1,504 Japanese ancestry controls	6,552 East Asian ancestry cases, 6,621 East Asian ancestry controls, 2,830 European ancestry cases, 3,740 European ancestry controls	NR [82343]	1	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST000219	Genome-wide genotyping array
2010-03-24	20228798	Franke A	2010-03-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20228798	Genome-wide association study for ulcerative colitis identifies risk loci at 7q22 and 22q13 (IL17REL).	Ulcerative colitis	1,043 European ancestry cases, 1,703 European ancestry controls	2,539 European ancestry cases, 5,428 European ancestry controls	Affymetrix [1897764] (imputed)	6	ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	GCST000623	Genome-wide genotyping array
2010-04-14	20348956	Kiemeney LA	2010-03-28	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20348956	A sequence variant at 4p16.3 confers susceptibility to urinary bladder cancer.	Urinary bladder cancer	1,889 European ancestry cases, 39,310 European ancestry controls	2,850 European ancestry cases, 6,239 European ancestry controls	Illumina [304703]	3	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	GCST000639	Genome-wide genotyping array
2013-09-21	23678272	Cheong KA	2013-05-02	J Korean Med Sci	www.ncbi.nlm.nih.gov/pubmed/23678272	Three new single nucleotide polymorphisms identified by a genome-wide association study in Korean patients with vitiligo.	Vitiligo (non-segmental)	20 Korean ancestry cases, 192 Korean ancestry controls	184 Korean ancestry cases, 192 Korean ancestry controls	Affymetrix [500568]	1	Vitiligo	http://www.ebi.ac.uk/efo/EFO_0004208	GCST001992	Genome-wide genotyping array
2008-06-16	17632545	Hakonarson H	2007-07-15	Nature	www.ncbi.nlm.nih.gov/pubmed/17632545	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	Type 1 diabetes	467 European ancestry trios, 561 European ancestry cases, 1,143 European ancestry controls	390 European ancestry trios, 1,333 European ancestry cases from 549 families	Illumina [543071]	4	type I diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001359	GCST000054	Genome-wide genotyping array
2009-12-28	19950302	Zhou X	2009-11-30	Arthritis Rheum	www.ncbi.nlm.nih.gov/pubmed/19950302	HLA-DPB1 and DPB2 are genetic loci for systemic sclerosis: a genome-wide association study in Koreans with replication in North Americans.	Systemic sclerosis	133 Korean ancestry cases, 557 Korean ancestry controls	1,107 European ancestry cases, 2,747 European ancestry controls	Affymetrix [440734]	0	systemic scleroderma	http://www.ebi.ac.uk/efo/EFO_0000717	GCST000535	Genome-wide genotyping array
2010-05-03	20363506	Meguro A	2010-04-02	Ophthalmology	www.ncbi.nlm.nih.gov/pubmed/20363506	Genome-wide association study of normal tension glaucoma: common variants in SRBD1 and ELOVL5 contribute to disease susceptibility.	Glaucoma	305 Japanese ancestry cases, 355 Japanese ancestry controls	NA	Affymetrix [325947]	2	glaucoma	http://www.ebi.ac.uk/efo/EFO_0000516	GCST000645	Genome-wide genotyping array
2008-06-16	17632509	Buch S	2007-07-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17632509	A genome-wide association scan identifies the hepatic cholesterol transporter ABCG8 as a susceptibility factor for human gallstone disease.	Gallstone disease	280 European ancestry cases, 360 European ancestry controls	1,833 European ancestry cases, 1,035 European ancestry controls, 167 Hispanic cases, 167 Hispanic controls	Affymetrix [382492]	1	gallstones	http://www.ebi.ac.uk/efo/EFO_0004210	GCST000055	Genome-wide genotyping array
2010-11-23	20923822	Niu N	2010-10-05	Genome Res	www.ncbi.nlm.nih.gov/pubmed/20923822	Radiation pharmacogenomics: a genome-wide association approach to identify radiation response biomarkers using human lymphoblastoid cell lines.	Radiation response	93 African American human lymphoblastoid cell lines, 89 European ancestry human lymphoblastoid cell lines, 95 Han Chinese ancestry human lymphoblastoid cell lines	NA	Affymetrix, Illumina [1348798]	12	response to radiation	http://purl.obolibrary.org/obo/GO_0009314	GCST000823	Genome-wide genotyping array
2009-04-13	19340012	Nan H	2009-04-02	J Invest Dermatol	www.ncbi.nlm.nih.gov/pubmed/19340012	Genome-wide association study of tanning phenotype in a population of European ancestry.	Tanning	2,287 European ancestry female individuals	870 European ancestry female individuals	Illumina [528173]	10	suntan	http://www.ebi.ac.uk/efo/EFO_0004279	GCST000371	Genome-wide genotyping array
2011-05-24	21490949	Sim X	2011-04-07	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21490949	Transferability of type 2 diabetes implicated loci in multi-ethnic cohorts from Southeast Asia.	Type 2 diabetes	2,010 Chinese ancestry cases, 1,945 Chinese ancestry controls, 794 Malay ancestry cases, 1,240 Malay ancestry controls, 977 Asian Indian ancestry cases, 1,169 Asian Indian ancestry controls	NA	Illumina [~ 2000000] (imputed)	17	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001033	Genome-wide genotyping array
2015-05-20	21221126	Shen Y	2011-01-11	Pharmacogenomics J	www.ncbi.nlm.nih.gov/pubmed/21221126	Genome-wide association study of serious blistering skin rash caused by drugs.	Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	up to 72 European ancestry cases, up to 4,251 European ancestry controls	NA	Illumina [up to 1000000]	4	Stevens-Johnson syndrome, toxic epidermal necrolysis	http://www.ebi.ac.uk/efo/EFO_0004276, http://www.ebi.ac.uk/efo/EFO_0004775	GCST000942	Genome-wide genotyping array
2012-02-14	22232737	Shu XO	2012-01-09	Cancer Res	www.ncbi.nlm.nih.gov/pubmed/22232737	Novel genetic markers of breast cancer survival identified by a genome-wide association study.	Breast cancer (survival)	1,950 Chinese ancestry cases	4,160 Chinese ancestry cases	Affymetrix [613031]	3	event free survival time, survival time, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000482, http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000305	GCST001373	Genome-wide genotyping array
2011-05-26	21544081	Dorajoo R	2011-04-19	Int J Obes (Lond)	www.ncbi.nlm.nih.gov/pubmed/21544081	Replication of 13 obesity loci among Singaporean Chinese, Malay and Asian-Indian populations.	Obesity	5,429 Chinese ancestry individuals, 2,431 Malay ancestry individuals, 2,531 Asian Indian ancestry individuals	NA	Illumina [1283957] (imputed)	1	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	GCST001046	Genome-wide genotyping array
2010-10-14	20871662	Fu YP	2010-09-02	J Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/20871662	Identification of Diabetic Retinopathy Genes through a Genome-Wide Association Study among Mexican-Americans from Starr County, Texas.	Diabetic retinopathy	103 Mexican American cases, 183 Mexican American controls	NA	Affymetrix [421010] (imputed)	0	diabetic retinopathy	http://www.ebi.ac.uk/efo/EFO_0003770	GCST000786	Genome-wide genotyping array
2009-04-23	19369658	Ikram MA	2009-04-15	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/19369658	Genomewide association studies of stroke.	Stroke	1,164 European ancestry ischemic cases, 380 European ancestry cases, 18,058 European ancestry controls	259 African American ancestry ischemic cases, 41 African American ancestry cases, 2,704 African American ancestry controls, 652 European ancestry ischemic cases, 3,613 European ancestry controls	Affymetrix, Illumina [2194468] (imputed)	4	stroke	http://www.ebi.ac.uk/efo/EFO_0000712	GCST000379	Genome-wide genotyping array
2015-05-23	21300955	Dehghan A	2011-02-07	Circulation	www.ncbi.nlm.nih.gov/pubmed/21300955	Meta-analysis of genome-wide association studies in >80 000 subjects identifies multiple loci for C-reactive protein levels.	C-reactive protein levels	63,678 European ancestry individuals 1,792 Erasmus Rucphen individuals, 715 Orcadian individuals	16,540 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	20	C-reactive protein measurement	http://www.ebi.ac.uk/efo/EFO_0004458	GCST000965	Genome-wide genotyping array
2011-07-13	21572416	Kato N	2011-05-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21572416	Meta-analysis of genome-wide association studies identifies common variants associated with blood pressure variation in east Asians.	Blood pressure	19,608 East Asian ancestry individuals	30,765 East Asian ancestry individuals	Affymetrix, Illumina [1700000] (imputed)	9	blood pressure	http://www.ebi.ac.uk/efo/EFO_0004325	GCST001072	Genome-wide genotyping array
2011-07-13	21572416	Kato N	2011-05-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21572416	Meta-analysis of genome-wide association studies identifies common variants associated with blood pressure variation in east Asians.	Blood pressure	19,608 East Asian ancestry individuals	30,765 East Asian ancestry individuals	Affymetrix, Illumina [1700000] (imputed)	8	blood pressure	http://www.ebi.ac.uk/efo/EFO_0004325	GCST001074	Genome-wide genotyping array
2009-08-21	19648920	Wu X	2009-08-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19648920	Genetic variation in the prostate stem cell antigen gene PSCA confers susceptibility to urinary bladder cancer.	Bladder cancer	969 European ancestry cases, 957 European ancestry controls	5,698 European ancestry cases, 38,633 European ancestry controls	Illumina [556429]	1	bladder carcinoma	http://www.ebi.ac.uk/efo/EFO_0000292	GCST000454	Genome-wide genotyping array
2010-04-13	20360844	Arking DE	2010-03-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20360844	Genome-wide association study identifies GPC5 as a novel genetic locus protective against sudden cardiac arrest.	Sudden cardiac arrest	424 European ancestry cases, 226 European ancestry controls	521 cases and 19,090 controls of Black and European ancestry	Affymetrix [1966233] (imputed)	0	sudden cardiac arrest	http://www.ebi.ac.uk/efo/EFO_0004278	GCST000638	Genome-wide genotyping array
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	28	cystatin C measurement, chronic kidney disease, serum creatinine measurement	http://www.ebi.ac.uk/efo/EFO_0004617, http://www.ebi.ac.uk/efo/EFO_0003884, http://www.ebi.ac.uk/efo/EFO_0004518	GCST000649	Genome-wide genotyping array
2009-03-31	19300482	Pillai SG	2009-03-20	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19300482	A genome-wide association study in chronic obstructive pulmonary disease (COPD): identification of two major susceptibility loci.	Chronic obstructive pulmonary disease	823 cases, 810 controls	1,891 European ancestry individuals from 606 families, 389 European ancestry cases, 472 European ancestry controls, 949 individuals from 127 families	Illumina [493609]	2	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST000359	Genome-wide genotyping array
2009-09-09	19684573	Ge D	2009-08-16	Nature	www.ncbi.nlm.nih.gov/pubmed/19684573	Genetic variation in IL28B predicts hepatitis C treatment-induced viral clearance.	Response to hepatitis C treatment	871 European ancestry cases, 191 African American cases, 75 Hispanic cases	NA	Illumina [565759]	3	chronic hepatitis C virus infection	http://www.ebi.ac.uk/efo/EFO_0004220	GCST000465	Genome-wide genotyping array
2011-01-16	21186350	Zhou K	2010-12-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21186350	Common variants near ATM are associated with glycemic response to metformin in type 2 diabetes.	Response to metformin in type 2 diabetes (glycemic)	1,024 European ancestry cases	2,896 European ancestry cases	Affymetrix [705125]	1	response to metformin	http://purl.obolibrary.org/obo/GO_1901558	GCST000927	Genome-wide genotyping array
2011-01-14	20801717	Shatunov A	2010-10-01	Lancet Neurol	www.ncbi.nlm.nih.gov/pubmed/20801717	Chromosome 9p21 in sporadic amyotrophic lateral sclerosis in the UK and seven other countries: a genome-wide association study.	Amyotrophic lateral sclerosis	4,857 European ancestry cases, 8,987 European ancestry controls	NA	Illumina [227475]	4	amyotrophic lateral sclerosis	http://www.ebi.ac.uk/efo/EFO_0000253	GCST000820	Genome-wide genotyping array
2009-03-31	19287509	Cui J	2009-03-14	Mol Med	www.ncbi.nlm.nih.gov/pubmed/19287509	Genome-wide association study of determinants of anti-cyclic citrullinated peptide antibody titer in adults with rheumatoid arthritis.	Anti-cyclic Citrullinated Peptide Antibody	531 European ancestry cases	849 European ancestry cases	Affymetrix [97248]	1	anti-cyclic citrullinated peptide antibody measurement	http://www.ebi.ac.uk/efo/EFO_0004733	GCST000356	Genome-wide genotyping array
2011-01-16	21302353	Perroud N	2010-12-28	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/21302353	Genome-wide association study of hoarding traits.	Hoarding	3,304 European ancestry individuals	NA	Illumina [1517033] (imputed)	3	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST000932	Genome-wide genotyping array
2009-01-21	19124843	Ober C	2009-01-07	J Lipid Res	www.ncbi.nlm.nih.gov/pubmed/19124843	Genome-wide association study of plasma lipoprotein(a) levels identifies multiple genes on chromosome 6q.	Lp (a) levels	357 Hutterite individuals	1,054 European ancestry males	Affymetrix [290327]	1	apolipoprotein A 1 measurement	http://www.ebi.ac.uk/efo/EFO_0004614	GCST000312	Genome-wide genotyping array
2009-01-14	19110211	Meisinger C	2008-12-24	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19110211	A genome-wide association study identifies three loci associated with mean platelet volume.	Mean platelet volume	1,606 European ancestry individuals	8,617 European ancestry individuals	Affymetrix [335152]	3	mean platelet volume	http://www.ebi.ac.uk/efo/EFO_0004584	GCST000305	Genome-wide genotyping array
2009-05-14	19416921	Scott LJ	2009-05-05	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/19416921	Genome-wide association and meta-analysis of bipolar disorder in individuals of European ancestry.	Bipolar disorder	3,683 European ancestry cases, 14,507 European ancestry controls	NA	Affymetrix, Illumina [2366197] (imputed)	13	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000387	Genome-wide genotyping array
2009-05-19	19430483	Newton-Cheh C	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430483	Genome-wide association study identifies eight loci associated with blood pressure.	Systolic blood pressure	34,433 European ancestry individuals	Up to 100,347 European ancestry individuals, up to 12,889 Indian Asian ancestry individuals	Affymetrix, Illumina [2497993] (imputed)	3	systolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006335	GCST000395	Genome-wide genotyping array
2009-05-19	19430483	Newton-Cheh C	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430483	Genome-wide association study identifies eight loci associated with blood pressure.	Diastolic blood pressure	34,433 European ancestry individuals	Up to 100,347 European ancestry individuals, up to 12,889 Indian Asian ancestry individuals	Affymetrix, Illumina [2497993] (imputed)	6	diastolic blood pressure	http://www.ebi.ac.uk/efo/EFO_0006336	GCST000394	Genome-wide genotyping array
2009-03-18	19249006	Xiong DH	2009-02-25	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19249006	Genome-wide association and follow-up replication studies identified ADAMTS18 and TGFBR3 as bone mass candidate genes in different ethnic groups.	Bone mineral density	1,000 European ancestry individuals	4,925 European ancestry individuals, 350 Chinese ancestry hip fracture cases, 350 Chinese ancestry hip fracture controls, 2,955 Chinese ancestry individuals, 908 West African ancestry males	Affymetrix [379319]	2	bone density	http://www.ebi.ac.uk/efo/EFO_0003923	GCST000347	Genome-wide genotyping array
2009-03-30	19278955	Tregouet DA	2009-03-10	Blood	www.ncbi.nlm.nih.gov/pubmed/19278955	Common susceptibility alleles are unlikely to contribute as strongly as the FV and ABO loci to VTE risk: results from a GWAS approach.	Venous thromboembolism	419 European ancestry cases, 1,228 European ancestry controls	1,757 European ancestry cases, 1,480 European ancestry controls	Illumina [291872]	1	venous thromboembolism	http://www.ebi.ac.uk/efo/EFO_0004286	GCST000354	Genome-wide genotyping array
2009-01-12	19060911	Aulchenko YS	2008-12-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19060911	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	Cholesterol, total	21,848 European ancestry individuals, 714 Orcadian individuals	NA	Affymetrix, Illumina [up to 600000]	15	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	GCST000285	Genome-wide genotyping array
2009-01-12	19060911	Aulchenko YS	2008-12-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19060911	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	LDL cholesterol	17,083 European ancestry individuals, 714 Orcadian individuals	NA	Affymetrix, Illumina [up to 600000]	12	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	GCST000282	Genome-wide genotyping array
2009-01-12	19060911	Aulchenko YS	2008-12-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19060911	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	Triglycerides	17,100 European ancestry individuals, 715 Orcadian individuals	NA	Affymetrix, Illumina [up to 600000]	8	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	GCST000289	Genome-wide genotyping array
2009-01-12	19060911	Aulchenko YS	2008-12-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19060911	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.	HDL cholesterol	20,697 European ancestry individuals, 715 Orcadian individuals	NA	Affymetrix, Illumina [up to 600000]	10	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST000288	Genome-wide genotyping array
2009-04-10	18711366	Unoki H	2008-08-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18711366	SNPs in KCNQ1 are associated with susceptibility to type 2 diabetes in East Asian and European populations.	Type 2 diabetes	194 Japanese ancestry cases, 1,558 Japanese ancestry controls	5,324 East Asian ancestry cases, 7,037 East Asian ancestry controls, 4,085 European ancestry cases, 5,302 European ancestry controls	Affymetrix [207097]	3	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST000221	Genome-wide genotyping array
2010-03-05	20159242	Li X	2010-02-01	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/20159242	Genome-wide association study of asthma identifies RAD50-IL13 and HLA-DR/DQ regions.	Asthma	607 European ancestry cases, 3,294 European ancestry controls	NA	Illumina [292443]	3	asthma	http://www.ebi.ac.uk/efo/EFO_0000270	GCST000576	Genome-wide genotyping array
2009-03-30	19300499	Takeuchi F	2009-03-20	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19300499	A genome-wide association study confirms VKORC1, CYP2C9, and CYP4F2 as principal genetic determinants of warfarin dose.	Warfarin maintenance dose	1,053 European ancestry individuals	588 European ancestry individuals	Illumina [325997]	4	response to anticoagulant	http://purl.obolibrary.org/obo/GO_0061476	GCST000360	Genome-wide genotyping array
2009-05-05	19359809	Hiura Y	2009-04-10	Circ J	www.ncbi.nlm.nih.gov/pubmed/19359809	Identification of genetic markers associated with high-density lipoprotein-cholesterol by genome-wide screening in a Japanese population: the Suita study.	HDL cholesterol	900 Japanese ancestry individuals	1,810 Japanese ancestry individuals	Illumina [368274]	1	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST000377	Genome-wide genotyping array
2010-02-28	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Fasting blood insulin	38,238 European ancestry individuals	62,264 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	2	fasting blood insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004466	GCST000571	Genome-wide genotyping array
2010-02-28	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Fasting blood glucose	46,186 European ancestry individuals	76,558 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	16	fasting blood glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004465	GCST000568	Genome-wide genotyping array
2018-01-23	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Homeostasis model assessment of insulin resistance	37,037 European ancestry individuals	62,264 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	2	HOMA-IR	http://www.ebi.ac.uk/efo/EFO_0004501	GCST005179	Genome-wide genotyping array
