Disease trait	EFO term	EFO URI	Parent term	Parent URI
Body mass in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Body mass index (change over time) in cancer or chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Body mass index (change over time) in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic bronchitis and chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic bronchitis in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic mucus hypersecretion in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease (moderate to severe)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease (severe)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease or coronary artery disease (pleiotropy)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease or high blood pressure (pleiotropy)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease or resting heart rate (pleiotropy)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease or stroke (pleiotropy)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Chronic obstructive pulmonary disease-related biomarkers	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cotinine levels in smokers with chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Current cigarettes per day in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Exhaled carbon monoxide levels in smokers with chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Lifetime average cigarettes per day in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Post bronchodilator FEV1 in COPD	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Post bronchodilator FEV1/FVC ratio in COPD	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Pulmonary artery enlargement and chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Pulmonary artery enlargement in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Response to long-term oxygen therapy in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Smoking cessation in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Frontal lobe volume	frontal lobe volume measurement	http://www.ebi.ac.uk/efo/EFO_0010144	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Occipital lobe volume	occipital lobe volume measurement	http://www.ebi.ac.uk/efo/EFO_0010145	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Parietal lobe volume	parietal lobe volume measurement	http://www.ebi.ac.uk/efo/EFO_0010146	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Temporal lobe volume	temporal lobe volume measurement	http://www.ebi.ac.uk/efo/EFO_0010147	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pepsinogen-I levels	pepsinogen-I measurement	http://www.ebi.ac.uk/efo/EFO_0010148	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pepsinogen I/II ratio	pepsinogen I/II ratio	http://www.ebi.ac.uk/efo/EFO_0010149	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Nodular sclerosis Hodgkin lymphoma	nodular sclerosis Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_0004708	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Infantile hypertrophic pyloric stenosis	infantile hypertrophic pyloric stenosis	http://www.ebi.ac.uk/efo/EFO_0004707	Digestive system disorder	http://www.ebi.ac.uk/efo/EFO_0000405
Opioid overdose severity score	opioid overdose severity measurement	http://www.ebi.ac.uk/efo/EFO_0010140	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
proportion of same-sex sexual behaviour among non-heterosexuals	same-sex sexual behavior	http://www.ebi.ac.uk/efo/EFO_0010142	Biological process	http://purl.obolibrary.org/obo/GO_0008150
same-sex sexual behaviour	same-sex sexual behavior	http://www.ebi.ac.uk/efo/EFO_0010142	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Chronic mountain sickness	chronic mountain sickness	http://www.ebi.ac.uk/efo/EFO_0010143	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Lung function (FEV1/FVC)	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Lung function (FEV1/FVC) in asthma (dust mite allergen exposure interaction)	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Post bronchodilator FEV1/FVC ratio	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Post bronchodilator FEV1/FVC ratio in COPD	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Post bronchodilator FEV1/FVC ratio in smoking	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Post-bronchodilator lung function in asthma (FEV1/FVC)	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pre bronchodilator FEV1/FVC ratio	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pre bronchodilator FEV1/FVC ratio in never-smokers	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pulmonary function	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pulmonary function (smoking interaction)	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pulmonary function decline	FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004713	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Podoconiosis	podoconiosis	http://www.ebi.ac.uk/efo/EFO_0004712	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Pelvic organ prolapse	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Pelvic organ prolapse (moderate/severe)	pelvic organ prolapse	http://www.ebi.ac.uk/efo/EFO_0004710	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Brain infarct	mri defined brain infarct	http://www.ebi.ac.uk/efo/EFO_0004715	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Small subcortical brain infarct	mri defined brain infarct	http://www.ebi.ac.uk/efo/EFO_0004715	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Subclinical brain infarct	mri defined brain infarct	http://www.ebi.ac.uk/efo/EFO_0004715	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Oral cancers (chewing tobacco related)	mouth neoplasm	http://www.ebi.ac.uk/efo/EFO_0003868	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Cerivastatin-induced rhabdomyolysis	rhabdomyolysis	http://www.ebi.ac.uk/efo/EFO_0003867	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Sexual dysfunction (SSRI/SNRI-related)	sexual dysfunction	http://www.ebi.ac.uk/efo/EFO_0004714	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Sexual dysfunction (female)	sexual dysfunction	http://www.ebi.ac.uk/efo/EFO_0004714	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Thrombosis	abnormal thrombosis	http://purl.obolibrary.org/obo/HP_0001977	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Menstruation quality of life impact (joint pain)	arthralgia	http://purl.obolibrary.org/obo/HP_0002829	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Moyamoya disease	Moyamoya disease	http://www.orpha.net/ORDO/Orphanet_2573	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Myopic maculopathy	myopic maculopathy severity measurement	http://www.ebi.ac.uk/efo/EFO_0009177	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Change in neurofilament light levels	neurofilament light chain measurement	http://www.ebi.ac.uk/efo/EFO_0009178	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Plasma neurofilament light levels	neurofilament light chain measurement	http://www.ebi.ac.uk/efo/EFO_0009178	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma	response to synacthen	http://www.ebi.ac.uk/efo/EFO_0009175	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma	response to synacthen	http://www.ebi.ac.uk/efo/EFO_0009175	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Sucrose liking	sucrose liking measurement	http://www.ebi.ac.uk/efo/EFO_0010157	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Corticosteroid-induced adrenal suppression (peak cortisol < 350 nmol/L)	adrenal suppression measurement	http://www.ebi.ac.uk/efo/EFO_0009176	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Corticosteroid-induced adrenal suppression (peak cortisol < 500 nmol/L)	adrenal suppression measurement	http://www.ebi.ac.uk/efo/EFO_0009176	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Intake of sweets	sugar consumption	http://www.ebi.ac.uk/efo/EFO_0010158	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Intake of total sugars	sugar consumption	http://www.ebi.ac.uk/efo/EFO_0010158	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pemphigus vulgaris	pemphigus vulgaris	http://www.ebi.ac.uk/efo/EFO_0004719	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD+)	vascular dementia	http://www.ebi.ac.uk/efo/EFO_0004718	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD++)	vascular dementia	http://www.ebi.ac.uk/efo/EFO_0004718	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Vascular dementia	vascular dementia	http://www.ebi.ac.uk/efo/EFO_0004718	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Cerebrospinal fluid sTREM-2 levels	soluble triggering receptor expressed on myeloid cells 2 measurement	http://www.ebi.ac.uk/efo/EFO_0010151	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Phenylephrine infusion rate during anesthesia	response to phenylephrine	http://www.ebi.ac.uk/efo/EFO_0010152	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Serum platinum levels after completion of cisplatin chemotherapy	platinum measurement	http://www.ebi.ac.uk/efo/EFO_0010154	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Osteoarthritis	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis (hand, severe)	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis (hip)	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis (hospital diagnosed)	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis (self-reported)	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis (with total hip replacement)	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis or femoral neck bone mineral density	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteoarthritis or lumbar spine bone mineral density	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Possible neuropathic pain in post total joint replacement surgery for osteoarthritis	osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0002506	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cardiac hypertrophy	cardiac hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002503	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Cutaneous lupus erythematosus	cutaneous lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0003834	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Glioblastoma	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Glioma	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Glioma (high-grade)	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Non-glioblastoma glioma	central nervous system cancer	http://www.ebi.ac.uk/efo/EFO_0000326	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	fever	http://purl.obolibrary.org/obo/HP_0001945	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Menstruation quality of life impact (fever)	fever	http://purl.obolibrary.org/obo/HP_0001945	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Thiopurine-induced fever in inflammatory bowel disease	fever	http://purl.obolibrary.org/obo/HP_0001945	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Carboplatin disposition in epthelial ovarian cancer	malignant epithelial tumor of ovary	http://www.orpha.net/ORDO/Orphanet_398934	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Epithelial ovarian cancer	malignant epithelial tumor of ovary	http://www.orpha.net/ORDO/Orphanet_398934	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Paclitaxel disposition in epithelial ovarian cancer	malignant epithelial tumor of ovary	http://www.orpha.net/ORDO/Orphanet_398934	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Vogt-Koyanagi-Harada syndrome	Vogt-Koyanagi-Harada disease	http://www.orpha.net/ORDO/Orphanet_3437	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Blood protein levels	SPARC-like protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008289	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	small nuclear ribonucleoprotein F measurement	http://www.ebi.ac.uk/efo/EFO_0008288	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	tenascin measurement	http://www.ebi.ac.uk/efo/EFO_0008296	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	T-lymphocyte surface antigen Ly-9 measurement	http://www.ebi.ac.uk/efo/EFO_0008295	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Response to direct-acting antiviral treatment in hepatitis C virus genotype 3	response to antiviral drug	http://www.ebi.ac.uk/efo/EFO_0010123	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Atorvastatin-induced myopathy	response to atorvastatin	http://www.ebi.ac.uk/efo/EFO_0010124	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Blood protein levels	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	teratocarcinoma-derived growth factor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008297	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pre-treatment viral load in HIV-1 infection	viral load	http://www.ebi.ac.uk/efo/EFO_0010125	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pre-treatment viral load in hepatitis C virus genotype 3	viral load	http://www.ebi.ac.uk/efo/EFO_0010125	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Smoking behaviour (age at first cigarette)	time to first cigarette measurement	http://www.ebi.ac.uk/efo/EFO_0010126	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Time to smoke first cigarette in the morning	time to first cigarette measurement	http://www.ebi.ac.uk/efo/EFO_0010126	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Stem cell growth factor beta levels	stem Cell Growth Factor beta measurement	http://www.ebi.ac.uk/efo/EFO_0008292	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Composite immunoglobulin trait (IgA x IgG x IgM)	serum immunoglobulin measurement	http://www.ebi.ac.uk/efo/EFO_0010127	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Stem cell factor levels	stem Cell Factor measurement	http://www.ebi.ac.uk/efo/EFO_0008291	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	superoxide dismutase [Mn], mitochondrial measurement	http://www.ebi.ac.uk/efo/EFO_0008294	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Composite immunoglobulin trait (IgA x IgG)	immunoglobulin isotype switching measurement	http://www.ebi.ac.uk/efo/EFO_0010128	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Composite immunoglobulin trait (IgA x IgG/IgM)	immunoglobulin isotype switching measurement	http://www.ebi.ac.uk/efo/EFO_0010128	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Composite immunoglobulin trait (IgA/IgG)	immunoglobulin isotype switching measurement	http://www.ebi.ac.uk/efo/EFO_0010128	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Composite immunoglobulin trait (IgA/IgM)	immunoglobulin isotype switching measurement	http://www.ebi.ac.uk/efo/EFO_0010128	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Composite immunoglobulin trait (IgG/IgM)	immunoglobulin isotype switching measurement	http://www.ebi.ac.uk/efo/EFO_0010128	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Breakfast cereal skipping frequency	breakfast skipping measurement	http://www.ebi.ac.uk/efo/EFO_0010129	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Breakfast skipping	breakfast skipping measurement	http://www.ebi.ac.uk/efo/EFO_0010129	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Stromal-cell-derived factor 1 alpha levels	stromal cell-derived factor 1 alpha measurement	http://www.ebi.ac.uk/efo/EFO_0008293	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Blood protein levels	spondin-1 measurement	http://www.ebi.ac.uk/efo/EFO_0008290	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Retinopathy in non-diabetics	retinopathy	http://www.ebi.ac.uk/efo/EFO_0003839	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Multiple traits (pleiotropy)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson disease and lewy body pathology	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (age at diagnosis)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (age of onset)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (coffee consumption interaction)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (familial)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Parkinson's disease (familial, age at onset)	parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
