STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008511,British,10000
GCST008459,Indian,816
GCST008459,Indian,900
GCST008459,Indian,505
GCST008459,Indian,871
GCST008459,European,36989
GCST008459,European,113075
GCST008545,Scottish,469
GCST008545,Scottish,1374
GCST008546,Scottish,1240
GCST008546,Scottish,1374
GCST008503,European,13807
GCST008550,British,122647
GCST008550,British,248781
GCST008505,European,8195
GCST008504,European,3669
GCST008456,European,422
GCST008456,European,5642
GCST008225,European,1992
GCST008225,European,3095
GCST008226,European,3227
GCST008226,European,4916
GCST008224,European,3227
GCST008224,European,1992
GCST008224,European,4916
GCST008224,European,3095
GCST008231,Hispanic or Latin American,2714
GCST008231,Hispanic or Latin American,5239
GCST008551,European,85
GCST008274,European,57
GCST008274,European,95
GCST008172,European,8289
GCST008275,European,176
GCST008275,European,278
GCST008398,Hispanic/Latino,9636
GCST008444,Lebanese,2700
GCST008502,Spanish,27
GCST008502,Spanish,804
GCST008549,British,224321
GCST008549,British,147096
GCST008458,Spanish,935
GCST008457,Spanish,935
GCST008293,European,1869
GCST008293,African American or African,55
GCST008293,South East Asian,33
GCST008293,East Asian,33
GCST008293,American Indian/Alaskan Native,7
GCST008293,Mixed,4
GCST008293,Arabic/North African,3
GCST008293,Central/South Asian,1
GCST008422,Hispanic or Latin American,15124
GCST008399,European,2085
GCST008399,European,4293
GCST008445,Mexican,396
GCST008176,Finnish,666
GCST008552,European,128
GCST008553,European,32
GCST008554,European,28
GCST008377,Han Chinese,1005
GCST008377,Han Chinese,1257
GCST008395,African American,584
GCST008395,Hispanic,282
GCST008395,East Asian,112
GCST008395,Native Hawaiian,96
GCST008395,American Indian,1
GCST008395,African American,8429
GCST008395,Hispanic,15852
GCST008395,East Asian,3536
GCST008395,Native Hawaiian,2892
GCST008395,American Indian,49
GCST008223,European,4384
GCST008223,European,784
GCST008394,African American,1532
GCST008394,Hispanic,1336
GCST008394,East Asian,575
GCST008394,Native Hawaiian,608
GCST008394,American Indian,42
GCST008394,African American,13761
GCST008394,Hispanic,19317
GCST008394,East Asian,3540
GCST008394,Native Hawaiian,2892
GCST008394,American Indian,595
GCST008356,European,935
GCST008360,European,972
GCST008358,European,972
GCST007897,Thai,79
GCST007897,Thai,239
GCST007896,European,475
GCST007896,European,1134
GCST008381,European,3379
GCST008382,European,3782
GCST008379,European,3871
GCST008380,European,3619
GCST008378,European,3470
GCST007949,African American,3432
GCST007949,African American,6977
GCST007950,African American,2768
GCST007950,African American,6059
GCST007992,European,31197
GCST007992,European,61770
GCST008559,European,12655
GCST008559,European,19225
GCST008560,European,11599
GCST008560,European,11599
GCST008561,European,12096
GCST008561,European,42215
GCST008562,European,10311
GCST008562,European,19225
GCST008563,European,13533
GCST008563,European,19225
GCST008564,European,11560
GCST008564,European,19225
GCST008565,European,8517
GCST008565,European,19225
GCST008566,European,4584
GCST008566,European,19225
GCST008567,European,9831
GCST008567,European,19225
GCST007999,European,523
GCST007999,African American,520
GCST008557,European,88
GCST008557,Black or African American,22
GCST008557,Asian,18
GCST008557,American Indian or Alaskan Native,1
GCST008557,Native Hawaiian or Pacific Islander,1
GCST008557,European,111
GCST008557,Black or African American,18
GCST008557,Asian,13
GCST008557,American Indian or Alaskan Native,2
GCST008557,Native Hawaiian or Pacific Islander,1
GCST008558,European,199
GCST008558,Black or African American,40
GCST008558,Asian,31
GCST008558,American Indian or Alaskan Native,3
GCST008558,Native Hawaiian or Pacific Islander,2
GCST008423,European,8168
GCST008423,European,65134
GCST008423,African,1278
GCST008423,African,1914
GCST008433,Han Chinese,1402
GCST008149,European,7611
GCST008291,European,2163
GCST008291,African American,784
GCST008291,European,5144
GCST008291,African American,2351
GCST008290,European,1533
GCST008290,African American,546
GCST008290,European,5776
GCST008290,African American,2590
GCST008289,European,1437
GCST008289,African American,578
GCST008289,European,5871
GCST008289,African American,2558
GCST008288,European,2896
GCST008288,African American,1436
GCST008288,European,4413
GCST008288,African American,1701
GCST008287,European,3826
GCST008287,African American,1317
GCST008287,European,3480
GCST008287,African American,1817
GCST008286,European,1259
GCST008286,African American,514
GCST008286,European,6046
GCST008286,African American,2616
GCST008285,European,3348
GCST008285,African American,1110
GCST008285,European,3958
GCST008285,African American,2024
GCST008283,European,7418
GCST008283,African American,3175
GCST007921,Korean,893
GCST007921,Korean,1075
GCST008284,European,2411
GCST008284,African American,880
GCST008284,European,2438
GCST008284,African American,951
GCST008366,Singaporean Han Chinese,16759
GCST008357,European,157039
GCST008357,European,206666
GCST008115,European,14879
GCST008115,European,31358
GCST008362,European,298142
GCST008362,African American,6635
GCST008362,Filipino,1449
GCST008362,Turkish,420
GCST008362,Moroccan,365
GCST008362,Surinamese,395
GCST008362,Afro Caribbean,1052
GCST008362,Hispanic,612
GCST008362,Thai,1180
GCST008362,Chinese,840
GCST008103,European,20352
GCST008103,European,31358
GCST008363,European,210267
GCST008117,European,977
GCST008117,European,31358
GCST008116,European,3421
GCST008116,European,31358
GCST008397,Korean,15
GCST008397,Korean,43
GCST007948,Japanese,4
GCST007948,Japanese,415
GCST008309,European,14579
GCST007845,European,283
GCST007845,European,4472
GCST008437,European,796
GCST008437,European,4010
GCST008438,European,1262
GCST008438,European,9608
GCST008674,European,46186
GCST008310,European,10395
GCST007945,European,581
GCST007947,European,1558
GCST007947,European,381
GCST007946,European,11473
GCST007880,European,563
GCST007838,European,19112
GCST007836,European,30118
GCST007837,European,11006
GCST007840,Korean,2873
GCST007840,Korean,5966
GCST007844,Turkish,921
GCST007844,Turkish,907
GCST007844,Iranian,422
GCST007844,Iranian,754
GCST008097,European,50
GCST008097,Chilean,1
GCST008097,European,4891
GCST008098,European,50
GCST008098,Chilean,1
GCST008098,European,324
GCST007846,British,131686
GCST007833,Japanese,11130
GCST007833,Japanese,187639
GCST008514,East Asian,1108
GCST008514,European,465
GCST008270,Danish,462
GCST008270,Danish,2019
GCST008675,European,126936
GCST008675,African American,17029
GCST008312,Icelandic,6879
GCST008313,Icelandic,6979
GCST007832,Tiwi Islander,249
GCST008169,European,2258
GCST008169,African,398
GCST008169,European,6599
GCST008169,African,1164
GCST007592,British,31856
GCST007592,British,299181
GCST007593,British,5324
GCST007593,British,325713
GCST007594,British,293857
GCST007594,British,37180
GCST008314,Korean,101
GCST008314,Korean,195
GCST007734,Korean,281
GCST007734,Korean,3336
GCST007796,European,154
GCST007796,European,608
GCST008375,European,1837
GCST008375,European,5355
GCST008376,European,2676
GCST008376,European,5355
GCST008311,European,426
GCST008311,European,852
GCST008057,British,10861
GCST008057,British,397594
GCST007731,East Asian,367
GCST008148,European,2647
GCST008148,East Asian,303
GCST008148,African American,115
GCST008148,Latino,114
GCST007797,European,13962
GCST007797,European,14873
GCST007798,European,40544
GCST007798,European,300671
GCST008147,European,2647
GCST008147,East Asian,303
GCST008147,African American,115
GCST008147,Latino,114
GCST007711,Korean,100
GCST007711,Korean,300
GCST008096,Egyptian,215
GCST008096,Egyptian,416
GCST007799,European,26582
GCST007799,European,300671
GCST007800,European,13962
GCST007800,European,300671
GCST007728,East Asian,3238
GCST007728,East Asian,4083
GCST007677,European,1758
GCST007679,European,1758
GCST007678,European,1758
GCST007643,European,294
GCST007708,British,270059
GCST007709,British,270059
GCST007710,British,270059
GCST007718,European,218759
GCST008139,Han Chinese,373
GCST008139,Han Chinese,6721
GCST007742,South Asian,329
GCST007743,South Asian,329
GCST007741,South Asian,329
GCST007740,South Asian,329
GCST007739,South Asian,720
GCST007687,Chinese,874
GCST007687,Chinese,2543
GCST008315,Icelandic,6125
GCST008258,European American,200680
GCST008258,African American,56495
GCST008258,Latino American,14112
GCST008258,East Asian American,1366
GCST008258,South Asian American,189
GCST007656,European,12550
GCST007656,European,46368
GCST007656,European,458969
GCST008259,European American,34658
GCST008259,European American,167346
GCST008259,African American,17267
GCST008259,African American,39381
GCST008259,Latino American,3449
GCST008259,Latino American,10726
GCST008259,East Asian American,164
GCST008259,East Asian American,1210
GCST008259,South Asian American,46
GCST008259,South Asian American,144
GCST007613,European,12550
GCST007613,European,46368
GCST007613,European,40585
GCST007613,European,406111
GCST007612,European,12550
GCST007612,European,60801
GCST007612,European,169872
GCST007611,European,12550
GCST007611,European,46368
GCST007611,European,144793
GCST007611,European,313761
GCST007610,European,144793
GCST007610,European,313761
GCST007609,European,458969
GCST008321,Icelandic,6125
GCST008316,Icelandic,6125
GCST008339,Icelandic,6125
GCST008317,Icelandic,6125
GCST008320,Icelandic,6125
GCST008319,Icelandic,6125
GCST008318,Icelandic,6125
GCST008170,Croatian,1094
GCST007816,European,8736
GCST007816,East Asian,1541
GCST007816,Hispanic,445
GCST007816,African American,847
GCST008473,French Canadian,1589
GCST007431,European,321047
GCST007432,European,321047
GCST007354,Korean,250
GCST007354,Korean,296
GCST007429,European,321047
GCST008770,Japanese,31230
GCST007367,European,1115
GCST007367,European,5655
GCST007495,European,499
GCST007536,European,13312
GCST007537,European,994
GCST007537,European,835
GCST007638,European,80003
GCST007839,British,47079
GCST007839,British,414027
GCST007581,European,12312
GCST007581,European,389344
GCST008641,Indo European,877
GCST007511,European,21982
GCST007511,European,41944
GCST007644,European,4475
GCST007645,European,5935
GCST007646,European,2298
GCST007647,European,2298
GCST007648,European,2921
GCST007649,European,2921
GCST007719,European,217634
GCST007717,European,217996
GCST007778,European,218450
GCST007721,European,218435
GCST007737,Han Chinese,211
GCST007737,Han Chinese,711
GCST007736,Han Chinese,350
GCST007736,Han Chinese,562
GCST007690,European,369
GCST007713,European,1016
GCST007713,European,4145
GCST007650,East Asian,367
GCST007427,Croatian,623
GCST007426,Croatian,623
GCST007277,European,4271
GCST007277,European,548
GCST007277,European,9488
GCST007428,Croatian,1121
GCST007430,European,321047
GCST007561,European,446118
GCST007560,European,34184
GCST007560,European,305742
GCST007559,European,106192
GCST007559,European,305742
GCST007900,Taiwanese,2197
GCST007406,British,300447
GCST007538,East Asian,74
GCST007280,European,8962
GCST007280,European,409591
GCST007676,European and Rankin,3830
GCST007676,European and Rankin,2335
GCST007675,European,3991
GCST007674,European,992
GCST007673,European,6165
GCST007672,European and Rankin,1832
GCST007672,European and Rankin,2620
GCST007477,European,7697
GCST007477,European,88964
GCST007475,European,4116
GCST007475,European,60055
GCST007476,European,2125
GCST007476,European,14047
GCST007266,African American Afro Caribbean,4235
GCST007266,African American Afro Caribbean,5283
GCST007266,Hispanic,2774
GCST007266,Hispanic,2362
GCST008577,European,1363
GCST008577,African American,299
GCST007437,Korean,6949
GCST007847,Japanese,36614
GCST007847,Japanese,155150
GCST007342,European,118811
GCST007342,European,327427
GCST007549,European,1096
GCST007549,European,2418
GCST007550,European,1096
GCST007469,European,2563
GCST007470,European,2563
GCST007479,European,3468
GCST007465,European,3093
GCST007466,European,3468
GCST007467,European,3399
GCST007478,European,3409
GCST007471,European,2591
GCST007473,European,2562
GCST007434,European,379
GCST007616,Taiwanese,7742
GCST008578,European,1235
GCST008578,African American,256
GCST008579,European,1785
GCST008579,African American,338
GCST008580,European,1785
GCST008581,European,475
GCST008582,European,1352
GCST007440,Korean,6949
GCST007439,Korean,6949
GCST007441,Korean,6949
GCST007438,Korean,6949
GCST007442,Korean,6949
GCST007297,Japanese,3981
GCST007297,Japaneses,6349
GCST007399,European,5461
GCST007304,European,183
GCST007304,European,147
GCST007398,European,3405
GCST007396,European,3405
GCST007395,European,5461
GCST007394,European,2102
GCST007393,European,3647
GCST007779,European,41
GCST007779,European,4891
GCST008716,Japanese,1239
GCST008716,Japanese,2146
GCST007824,European,992
GCST007824,European,2910
GCST008714,Japanese,479
GCST008714,Japanese,760
GCST008712,Japanese,3385
GCST008709,Japanese,3385
GCST008713,Japanese,120
GCST008713,Japanese,760
GCST007391,British,100234
GCST007389,British,122808
GCST007390,British,108090
GCST007842,Han Chinese,992
GCST007842,Han Chinese,1008
GCST007357,European,1721
GCST007730,European,3149
GCST007730,African American,402
GCST007730,Hispanic,94
GCST007730,Chinese,34
GCST007730,Malay,47
GCST007730,European,14807
GCST007730,African American,1432
GCST007730,Hispanic,643
GCST007730,Chinese,173
GCST007730,Malay,168
GCST006987,Sub Saharan African,552
GCST007576,European,449734
GCST007565,European,252287
GCST007565,European,150908
GCST007605,Finnish,4622
GCST007111,European,704
GCST007111,European,9031
GCST007282,African American,7395
GCST007282,African American,13092
GCST007282,Asian,2753
GCST007282,Asian,3650
GCST007282,European,22963
GCST007282,European,61939
GCST007282,Hispanic or Latin American,2829
GCST007282,Hispanic or Latin American,6358
GCST007285,African American,7294
GCST007285,African American,12832
GCST007285,Asian,1352
GCST007285,Asian,3049
GCST007285,European,20622
GCST007285,European,51480
GCST007285,Hispanic or Latin American,2166
GCST007285,Hispanic or Latin American,3486
GCST007281,African American,7395
GCST007281,African American,13092
GCST007281,Asian,2753
GCST007281,Asian,3650
GCST007281,European,22963
GCST007281,European,61939
GCST007281,Hispanic or Latin American,2829
GCST007281,Hispanic or Latin American,6358
GCST007283,African American,7260
GCST007283,African American,12761
GCST007283,Asian,2740
GCST007283,Asian,3615
GCST007283,European,22378
GCST007283,European,55310
GCST007283,Hispanic or Latin American,2163
GCST007283,Hispanic or Latin American,3461
GCST007286,African American,7294
GCST007286,African American,12832
GCST007286,Asian,1352
GCST007286,Asian,3049
GCST007286,European,20622
GCST007286,European,51480
GCST007286,Hispanic or Latin American,2166
GCST007286,Hispanic or Latin American,3486
GCST007284,African American,7260
GCST007284,African American,12761
GCST007284,Asian,2740
GCST007284,Asian,3615
GCST007284,European,22378
GCST007284,European,55310
GCST007284,Hispanic or Latin American,2163
GCST007284,Hispanic or Latin American,3461
GCST007050,Chilean Latino,529
GCST007050,Chilean Latino,566
GCST007777,Danish,46008
GCST007777,Danish,19526
GCST007093,European,77052
GCST007093,European,378169
GCST007092,European,39427
GCST007092,European,378169
GCST007091,European,15704
GCST007091,European,378169
GCST007217,Rucphen,2006
GCST007217,European,26692
GCST007218,Rucphen,2332
GCST007218,European,24462
GCST007227,Rucphen,2177
GCST007227,European,23332
GCST007226,Rucphen,2370
GCST007226,European,29325
GCST007242,European,1471
GCST007242,European,6460
GCST007241,British,1456
GCST007241,European,6460
GCST007240,British,1456
GCST007240,European,1471
GCST007112,European,1467
GCST007112,European,19156
GCST007521,Korean,228
GCST007521,Korean,5915
GCST007279,European,14689
GCST007305,European,8429
GCST007305,European,2797
GCST007843,European,868
GCST007843,European,1194
GCST007520,Korean,228
GCST007520,Korean,731
GCST007519,Korean,731
GCST007519,Korean,5915
GCST007774,European,1806
GCST007774,African American,133
GCST007774,Hispanic,109
GCST007774,European,10397
GCST007774,African American,1314
GCST007774,Hispanic,718
GCST007814,European,1252
GCST007813,European,468
GCST007812,European,170
GCST007812,European,127
GCST007811,European,331
GCST007811,European,700
GCST007810,European,61
GCST007810,European,804
GCST007809,European,448
GCST007809,European,804
GCST007019,European,2439
GCST007019,African American,3881
GCST007729,European,1715
GCST007729,African American,187
GCST007729,Hispanic,56
GCST007729,Chinese,23
GCST007729,Malay,40
GCST007729,European,13749
GCST007729,African American,807
GCST007729,Hispanic,643
GCST007729,Chinese,173
GCST007729,Malay,168
GCST007090,European,24955
GCST007090,European,378169
GCST007606,European,197
GCST007606,European,6835
GCST007607,European,15
GCST007607,European,10588
GCST007608,European,6
GCST007608,European,10588
GCST008105,European,31964
GCST008105,European,419135
GCST007782,European and East Asian,35476
GCST007782,European and East Asian,46839
GCST007781,European,20352
GCST007781,European,31358
GCST006983,European,18345
GCST006983,European,14374
GCST006983,European,50410
GCST007344,European,134070
GCST007344,East Asian,143658
GCST007344,Hispanic or Latino,26344
GCST007344,African American,8224
GCST007726,Ashkenazi Jewish,256
GCST007726,African American,68
GCST007726,Ashkenazi Jewish,534
GCST007726,African American,217
GCST006935,European,1225
GCST007600,European,952
GCST007600,European,1789
GCST007600,European,6337
GCST007600,European,8402
GCST007254,European,9240
GCST007254,European,9519
GCST007254,European,51258
GCST007254,European,75607
GCST007254,European,231747
GCST007257,European,9240
GCST007257,European,9519
GCST007257,European,51258
GCST007257,European and East Asian,36989
GCST007257,European and East Asian,113075
GCST007255,European,9240
GCST007255,European,9519
GCST007255,European,51258
GCST007255,European,7481
GCST007255,European,9250
GCST007256,European,9240
GCST007256,European,9519
GCST007256,European,51258
GCST007256,Chinese,5303
GCST007256,Chinese,5337
GCST007603,European,324851
GCST007603,South Asian,21962
GCST007604,European and South Asian,121543
GCST007601,European and South Asian,131892
GCST007602,European and South Asian,128746
GCST007320,European,24087
GCST007320,European,47793
GCST007320,European,383378
GCST007321,European,47793
GCST007321,European,328320
GCST007319,European,24087
GCST007319,European,55058
GCST008417,Danish,35006
GCST008417,Danish,16366
GCST008416,Danish,32716
GCST008416,Danish,16269
GCST008415,Danish,2387
GCST008415,Danish,1789
GCST008414,Danish,2387
GCST008414,Danish,48985
GCST008530,European,471
GCST008533,European,132
GCST008533,European,288
GCST008534,European,61
GCST008534,European,303
GCST008537,European,308
GCST008537,European,112
GCST008538,European,352
GCST008538,European,61
GCST008540,European,277
GCST008540,European,146
GCST008543,European,362
GCST008543,European,62
GCST008544,European,174
GCST008544,European,117
GCST008542,European,120
GCST008542,European,80
GCST008541,European,368
GCST008541,European,49
GCST008539,European,136
GCST008539,European,276
GCST008536,European,91
GCST008536,European,318
GCST008535,European,197
GCST008535,European,212
GCST008532,European,141
GCST008532,European,265
GCST008202,Finnish,5284
GCST008210,Finnish,5284
GCST008196,Finnish,5284
GCST008207,Finnish,5284
GCST008208,Finnish,5284
GCST008206,Finnish,5284
GCST008198,Finnish,13577
GCST008205,Finnish,13577
GCST008204,Finnish,13577
GCST008209,Finnish,13577
GCST008203,Finnish,13577
GCST008201,Finnish,13577
GCST008200,Finnish,13577
GCST008197,Finnish,13577
GCST008199,Finnish,13577
GCST008211,Finnish,13577
GCST008412,European,1913
GCST008412,European,4792
GCST008411,European,3495
GCST008411,European,3210
GCST008410,European,1913
GCST008410,European,2071
GCST008409,European,1913
GCST008409,European,4792
GCST008408,European,3495
GCST008408,European,3210
GCST008402,European,1913
GCST008402,European,2071
GCST008393,European,6705
GCST008407,European,1913
GCST008407,European,4792
GCST008406,European,3495
GCST008406,European,3210
GCST008405,European,1913
GCST008405,European,2071
GCST008404,European,1913
GCST008404,European,4792
GCST008401,European,3495
GCST008401,European,3210
GCST008400,European,1913
GCST008400,European,2071
GCST008392,European,6705
GCST008389,European,6704
GCST008390,European,6704
GCST008387,European,3034
GCST008173,Mexican American,3595
GCST008175,Mexican American,1577
GCST008174,Mexican American,3644
GCST008498,European,1203
GCST008499,European,1585
GCST008500,European,549
GCST008501,European,967
GCST007922,European,53137
GCST007922,European,79230
GCST007923,European,15272
GCST007923,European,290641
GCST007924,European,67653
GCST007924,European,85986
GCST007925,European,5546
GCST007925,European,237113
GCST007926,European,6431
GCST007926,European,145949
GCST007928,European,34453
GCST007928,European,194633
GCST007927,European,31700
GCST007927,European,192324
GCST007929,European,31904
GCST007929,European,172474
GCST007930,European,62752
GCST007930,European,174778
GCST007931,European,73475
GCST007931,European,216910
GCST007932,European,24832
GCST007932,European,280750
GCST007933,European,3954
GCST007933,European,268648
GCST007934,European,74150
GCST007934,European,90370
GCST007935,European,7870
GCST007935,European,207798
GCST007936,European,22982
GCST007936,European,55826
GCST007937,European,61583
GCST007937,European,50427
GCST007938,European,83218
GCST007938,European,96592
GCST007939,European,5521
GCST007939,European,114323
GCST007940,European,33757
GCST007940,European,270405
GCST007941,European,28880
GCST007941,European,147565
GCST007942,European,17352
GCST007942,European,188348
GCST007943,European,13984
GCST007943,European,137652
GCST007944,European,5215
GCST007944,European,95653
GCST007993,British,21564
GCST007993,British,318237
GCST007995,British,9433
GCST007995,British,318237
GCST007994,British,37846
GCST007996,British,9876
GCST007996,British,318237
GCST007876,European,206856
GCST007876,East Asian,143658
GCST007877,European,69591
GCST007878,European,20700
GCST007879,European,2044
GCST007879,European,65575
GCST008760,European,686
GCST008761,European,686
GCST008762,European,21447
GCST008763,European,1757
GCST008764,European,1757
GCST008765,European,1757
GCST008766,European,1757
GCST008767,European,686
GCST008768,European,2443
GCST008759,European,174424
GCST008769,European,1757
GCST008114,African,2633
GCST008114,African,1714
GCST008272,European,522
GCST008273,European,522
GCST008721,European,2492
GCST008721,European,9772
GCST008721,European,24529
GCST008722,European,3617
GCST008722,European,9772
GCST008722,European,24813
GCST008718,European,2686
GCST008718,European,9772
GCST008718,European,25256
GCST008723,European,741
GCST008723,European,9772
GCST008723,European,23367
GCST008724,European,2492
GCST008724,European,3921
GCST008724,European,11232
GCST008725,European,3617
GCST008725,European,3921
GCST008725,European,11516
GCST008719,European,2686
GCST008719,European,3921
GCST008719,European,11959
GCST008726,European,741
GCST008726,European,3921
GCST008726,European,10070
GCST008727,European,2492
GCST008727,European,7219
GCST008727,European,23144
GCST008728,European,3617
GCST008728,European,7219
GCST008728,European,23428
GCST008720,European,2686
GCST008720,European,7219
GCST008720,European,23871
GCST008729,European,741
GCST008729,European,7219
GCST008729,European,21982
GCST008647,European,446237
GCST008648,European,446230
GCST007018,European,188
GCST007018,European,242
GCST007016,European,188
GCST007016,European,242
GCST007017,European  Mediterranean,257
GCST007017,European  Mediterranean,161
GCST007664,European,634
GCST007664,African,40
GCST007664,Asian,13
GCST006978,British,2433
GCST006978,British,334766
GCST006977,European,24546
GCST007621,European,22745
GCST007622,European,21495
GCST007623,European,22774
GCST007624,European,22738
GCST007625,European,22795
GCST007626,European,22861
GCST007627,European,21876
GCST007628,European,21806
GCST007629,European,21786
GCST007630,European,22572
GCST007637,European,2584
GCST007637,European,3002
GCST007637,African American,343
GCST007637,African American,1006
GCST007407,European,103976
GCST007408,European,103976
GCST007409,European,103976
GCST007410,European,4919
GCST007411,European,4919
GCST007412,European,4919
GCST007413,European,4919
GCST007231,South African,242
GCST007231,South African,168
GCST007231,South African,223
GCST007231,South African,182
GCST007232,South African,242
GCST007232,South African,168
GCST007232,South African,223
GCST007232,South African,182
GCST007100,Hispanic/Latino,854
GCST007100,African American,493
GCST007355,European,250
GCST007355,European,3202
GCST007356,European,3452
GCST008678,African,5120
GCST008678,Asian,2394
GCST008678,European,15129
GCST008678,Hispanic,747
GCST008678,African,18641
GCST008678,Asian,10777
GCST008678,European,75138
GCST008678,Hispanic,5873
GCST008679,African,5120
GCST008679,Asian,2394
GCST008679,European,15129
GCST008679,Hispanic,747
GCST008680,African,18641
GCST008680,Asian,10777
GCST008680,European,75138
GCST008680,Hispanic,5873
GCST008681,African,11893
GCST008681,Asian,4025
GCST008681,European,49475
GCST008681,Hispanic,2544
GCST008681,African,11866
GCST008681,Asian,9146
GCST008681,European,40797
GCST008681,Hispanic,4076
GCST008682,African,11893
GCST008682,Asian,4025
GCST008682,European,49475
GCST008682,Hispanic,2544
GCST008682,African,11866
GCST008682,Asian,9146
GCST008682,European,40797
GCST008682,Hispanic,4076
GCST008683,African,11893
GCST008683,Asian,4025
GCST008683,European,49475
GCST008683,Hispanic,2544
GCST008684,African,11866
GCST008684,Asian,9146
GCST008684,European,40797
GCST008684,Hispanic,4076
GCST008685,African,23761
GCST008685,Asian,13171
GCST008685,European,90272
GCST008685,Hispanic,6620
GCST008686,African,4973
GCST008686,Asian,2375
GCST008686,European,13799
GCST008686,Hispanic,755
GCST008686,African,18384
GCST008686,Asian,10742
GCST008686,European,68719
GCST008686,Hispanic,5894
GCST008687,African,4973
GCST008687,Asian,2375
GCST008687,European,13799
GCST008687,Hispanic,755
GCST008687,African,18384
GCST008687,Asian,10742
GCST008687,European,68719
GCST008687,Hispanic,5894
GCST008688,African,4973
GCST008688,Asian,2375
GCST008688,European,13799
GCST008688,Hispanic,755
GCST008689,African,18384
GCST008689,Asian,10742
GCST008689,European,68719
GCST008689,Hispanic,5894
GCST008690,African,11649
GCST008690,Asian,3999
GCST008690,European,45506
GCST008690,Hispanic,2554
GCST008690,African,11700
GCST008690,Asian,9118
GCST008690,European,37016
GCST008690,Hispanic,4095
GCST008691,African,11649
GCST008691,Asian,3999
GCST008691,European,45506
GCST008691,Hispanic,2554
GCST008691,African,11700
GCST008691,Asian,9118
GCST008691,European,37016
GCST008691,Hispanic,4095
GCST008692,African,11649
GCST008692,Asian,3999
GCST008692,European,45506
GCST008692,Hispanic,2554
GCST008693,African,11700
GCST008693,Asian,9118
GCST008693,European,37016
GCST008693,Hispanic,4095
GCST008676,African,23353
GCST008676,Asian,13171
GCST008676,European,82522
