EFO URI,STUDY ACCESSION,PUBMEDID,ASSOCIATION COUNT
http://www.ebi.ac.uk/efo/efo_0005762,GCST005934,29884837,4
http://www.ebi.ac.uk/efo/efo_0007937,GCST005806,29875488,2784
http://www.ebi.ac.uk/efo/efo_0003884,GCST006814,29885931,7
http://www.ebi.ac.uk/efo/efo_0007585,GCST006175,29875475,0
http://www.ebi.ac.uk/efo/efo_0003015,GCST006175,29875475,0
http://www.ebi.ac.uk/efo/efo_0003884,GCST006816,29885931,0
http://www.ebi.ac.uk/efo/efo_0009324,GCST006816,29885931,0
http://www.ebi.ac.uk/efo/efo_0003884,GCST006815,29885931,2
http://www.ebi.ac.uk/efo/efo_0009324,GCST006815,29885931,2
http://www.ebi.ac.uk/efo/efo_0003884,GCST006813,29885931,3
http://www.ebi.ac.uk/efo/efo_0009324,GCST006813,29885931,3
http://www.ebi.ac.uk/efo/efo_0007702,GCST006143,29883787,18
http://www.ebi.ac.uk/efo/efo_0004337,GCST006269,29844566,1248
http://www.ebi.ac.uk/efo/efo_0008393,GCST006268,29844566,532
http://www.ebi.ac.uk/efo/efo_0007814,GCST006289,29808027,49
http://www.ebi.ac.uk/efo/efo_0004847,GCST006291,29808027,140
http://purl.obolibrary.org/obo/hp_0000545,GCST006291,29808027,140
http://www.ebi.ac.uk/efo/efo_0007814,GCST006291,29808027,140
http://www.ebi.ac.uk/efo/efo_0004847,GCST006290,29808027,112
http://purl.obolibrary.org/obo/hp_0000545,GCST006290,29808027,112
http://www.ebi.ac.uk/efo/efo_0009785,GCST007423,29786918,0
http://www.ebi.ac.uk/efo/efo_0000270,GCST007423,29786918,0
http://www.ebi.ac.uk/efo/efo_0004703,GCST005864,29773799,0
http://www.ebi.ac.uk/efo/efo_0004703,GCST005865,29773799,1
http://www.ebi.ac.uk/efo/efo_0004703,GCST005867,29773799,31
http://www.ebi.ac.uk/efo/efo_0009184,GCST005787,29769521,32
http://www.ebi.ac.uk/efo/efo_0003888,GCST006219,29769613,1
http://www.ebi.ac.uk/efo/efo_0009332,GCST006219,29769613,1
http://www.ebi.ac.uk/efo/efo_0009180,GCST005790,29771307,98
http://www.ebi.ac.uk/efo/efo_0005035,GCST006134,29860282,13
http://www.ebi.ac.uk/efo/efo_0002690,GCST005831,29848360,5
http://www.ebi.ac.uk/efo/efo_0006514,GCST006136,29860282,13
http://www.ebi.ac.uk/efo/efo_0007707,GCST006135,29860282,15
http://www.ebi.ac.uk/efo/efo_0003931,GCST007250,30680360,44
http://www.ebi.ac.uk/efo/efo_0009707,GCST007250,30680360,44
http://www.ebi.ac.uk/efo/efo_0009785,GCST007424,29786918,1
http://www.ebi.ac.uk/efo/efo_0000270,GCST007424,29786918,1
http://www.ebi.ac.uk/efo/efo_0000270,GCST007562,29785011,6
http://www.ebi.ac.uk/efo/efo_0009266,GCST005928,29787419,2
http://www.ebi.ac.uk/efo/efo_0004339,GCST005908,29782485,41
http://www.ebi.ac.uk/efo/efo_0003785,GCST007564,29785011,38
http://www.ebi.ac.uk/efo/efo_0000270,GCST007564,29785011,38
http://www.ebi.ac.uk/efo/efo_0000182,GCST005746,29784950,7
http://www.ebi.ac.uk/efo/efo_0004197,GCST005746,29784950,7
http://www.ebi.ac.uk/efo/efo_0004695,GCST006412,29785010,133
http://www.ebi.ac.uk/efo/efo_0003785,GCST007563,29785011,33
http://www.ebi.ac.uk/efo/efo_0000270,GCST007563,29785011,33
http://www.ebi.ac.uk/efo/efo_0009268,GCST005920,29777097,2
http://www.ebi.ac.uk/efo/efo_0004518,GCST006393,29779033,4
http://www.ebi.ac.uk/efo/efo_0005208,GCST006392,29779033,4
http://www.ebi.ac.uk/efo/efo_0009268,GCST005923,29777097,6
http://www.ebi.ac.uk/efo/efo_0003884,GCST006391,29779033,0
http://www.ebi.ac.uk/efo/efo_0000249,GCST005922,29777097,221
http://www.ebi.ac.uk/efo/efo_0009268,GCST005922,29777097,221
http://www.ebi.ac.uk/efo/efo_0009268,GCST005921,29777097,61
http://www.ebi.ac.uk/efo/efo_0004704,GCST005863,29773799,36
http://www.ebi.ac.uk/efo/efo_0000275,GCST006061,29892015,228
http://www.ebi.ac.uk/efo/efo_0000203,GCST006917,30134812,15
http://www.ebi.ac.uk/efo/efo_0007701,GCST006142,29883787,0
http://www.ebi.ac.uk/efo/efo_0003923,GCST006141,29883787,0
http://www.ebi.ac.uk/efo/efo_0009330,GCST006225,29967566,5
http://www.ebi.ac.uk/efo/efo_0000409,GCST007046,29768301,0
http://www.ebi.ac.uk/efo/efo_0000305,GCST007046,29768301,0
http://purl.obolibrary.org/obo/go_0097327,GCST007046,29768301,0
http://www.ebi.ac.uk/efo/efo_0007771,GCST007047,29768301,0
http://www.ebi.ac.uk/efo/efo_0000305,GCST007047,29768301,0
http://purl.obolibrary.org/obo/go_0097327,GCST007047,29768301,0
http://www.ebi.ac.uk/efo/efo_0005943,GCST007048,29768301,0
http://www.ebi.ac.uk/efo/efo_0007771,GCST007048,29768301,0
http://www.ebi.ac.uk/efo/efo_0000305,GCST007048,29768301,0
http://purl.obolibrary.org/obo/go_0097327,GCST007048,29768301,0
http://www.ebi.ac.uk/efo/efo_0000638,GCST007049,29768301,0
http://www.ebi.ac.uk/efo/efo_0000305,GCST007049,29768301,0
http://purl.obolibrary.org/obo/go_0097327,GCST007049,29768301,0
http://www.ebi.ac.uk/efo/efo_0001359,GCST006281,29695241,21
http://www.ebi.ac.uk/efo/efo_0000378,GCST006281,29695241,21
http://www.ebi.ac.uk/efo/efo_0006941,GCST005830,29691431,139
http://www.ebi.ac.uk/efo/efo_0001360,GCST006494,29691896,7
http://www.ebi.ac.uk/efo/efo_0001360,GCST006495,29691896,22
http://www.ebi.ac.uk/efo/efo_0006941,GCST005829,29691431,27
http://www.ebi.ac.uk/efo/efo_0009325,GCST006220,29682794,2
http://www.ebi.ac.uk/efo/efo_0009334,GCST006224,29682794,8
http://www.ebi.ac.uk/efo/efo_0009328,GCST006223,29682794,5
http://www.ebi.ac.uk/efo/efo_0009327,GCST006222,29682794,4
http://www.ebi.ac.uk/efo/efo_0009335,GCST006221,29682794,5
http://www.ebi.ac.uk/efo/efo_0009278,GCST005938,29698431,22
http://www.ebi.ac.uk/efo/efo_0003761,GCST005839,29700475,44
http://www.ebi.ac.uk/efo/efo_0005842,GCST006035,29698419,18
http://www.ebi.ac.uk/efo/efo_0000305,GCST006035,29698419,18
http://www.ebi.ac.uk/efo/efo_0009278,GCST005940,29698431,20
http://www.ebi.ac.uk/efo/efo_0009278,GCST005939,29698431,14
http://www.ebi.ac.uk/efo/efo_0009260,GCST005896,29739929,82
http://www.ebi.ac.uk/efo/efo_0004279,GCST005897,29739929,79
http://www.ebi.ac.uk/efo/efo_0003761,GCST006818,29998114,0
http://purl.obolibrary.org/obo/go_0036276,GCST006818,29998114,0
http://www.ebi.ac.uk/efo/efo_0004351,GCST005789,29769521,30
http://www.ebi.ac.uk/efo/efo_0009185,GCST005788,29769521,29
http://www.ebi.ac.uk/efo/efo_0000341,GCST006042,29767774,2
http://www.ebi.ac.uk/efo/efo_0005671,GCST006042,29767774,2
http://www.ebi.ac.uk/efo/efo_0004318,GCST005747,29766673,0
http://www.ebi.ac.uk/efo/efo_0003060,GCST005747,29766673,0
http://www.ebi.ac.uk/efo/efo_0005213,GCST005667,29760442,46
http://www.ebi.ac.uk/efo/efo_0005213,GCST006367,29760442,1
http://www.ebi.ac.uk/efo/efo_0005213,GCST006366,29760442,14
http://www.orpha.net/ordo/orphanet_2495,GCST005870,29762745,1
http://www.orpha.net/ordo/orphanet_399,GCST007113,29750799,2
http://www.ebi.ac.uk/efo/efo_0004847,GCST007113,29750799,2
http://www.ebi.ac.uk/efo/efo_0003761,GCST006817,29998114,5
http://purl.obolibrary.org/obo/go_0036276,GCST006817,29998114,5
http://www.ebi.ac.uk/efo/efo_0000692,GCST006248,29730043,13
http://purl.obolibrary.org/obo/go_0097332,GCST006248,29730043,13
http://www.ebi.ac.uk/efo/efo_0006899,GCST006284,29748315,19
http://www.ebi.ac.uk/efo/efo_0005213,GCST006049,29847655,2
http://www.ebi.ac.uk/efo/efo_0009133,GCST005672,29728394,3
http://www.ebi.ac.uk/efo/efo_0005213,GCST006050,29847655,1
http://www.ebi.ac.uk/efo/efo_0000555,GCST006535,29673008,7
http://www.ebi.ac.uk/efo/efo_0005666,GCST008368,29678681,20
http://www.ebi.ac.uk/efo/efo_0009896,GCST008369,29678681,24
http://www.ebi.ac.uk/efo/efo_0003785,GCST007732,29679657,25
http://www.ebi.ac.uk/efo/efo_0005666,GCST008367,29678681,19
http://www.ebi.ac.uk/efo/efo_0009896,GCST008367,29678681,19
http://www.ebi.ac.uk/efo/efo_0009179,GCST005714,29751835,8
http://www.ebi.ac.uk/efo/efo_0009178,GCST005713,29747637,2
http://www.ebi.ac.uk/efo/efo_0005543,GCST005931,29743610,17
http://www.ebi.ac.uk/efo/efo_0005543,GCST005933,29743610,11
http://www.ebi.ac.uk/efo/efo_0005543,GCST005932,29743610,14
http://www.ebi.ac.uk/efo/efo_0003767,GCST005783,29603369,4
http://www.ebi.ac.uk/efo/efo_0007701,GCST005783,29603369,4
http://www.ebi.ac.uk/efo/efo_0003767,GCST005784,29603369,7
http://www.ebi.ac.uk/efo/efo_0007785,GCST005784,29603369,7
http://www.ebi.ac.uk/efo/efo_1001132,GCST005688,29608535,15
http://www.ebi.ac.uk/efo/efo_0004308,GCST005579,29596498,1
http://www.ebi.ac.uk/efo/efo_0004308,GCST005578,29596498,16
http://www.ebi.ac.uk/efo/efo_0004695,GCST005580,29617998,320
http://www.ebi.ac.uk/efo/efo_0009130,GCST005686,29594489,59
http://www.ebi.ac.uk/efo/efo_0001378,GCST005686,29594489,59
http://www.ebi.ac.uk/efo/efo_0005202,GCST005646,29580174,0
http://www.ebi.ac.uk/efo/efo_0000537,GCST005646,29580174,0
http://www.ebi.ac.uk/efo/efo_0004761,GCST005646,29580174,0
http://www.ebi.ac.uk/efo/efo_1001267,GCST005687,29590334,1
http://www.ebi.ac.uk/efo/efo_0004640,GCST005807,29572449,1
http://www.ebi.ac.uk/efo/efo_0001360,GCST005807,29572449,1
http://www.ebi.ac.uk/efo/efo_0003761,GCST005904,29662059,9
http://www.ebi.ac.uk/efo/efo_1001754,GCST005844,29884306,9
http://www.ebi.ac.uk/efo/efo_0003761,GCST005902,29662059,111
http://www.ebi.ac.uk/efo/efo_0007822,GCST006075,29662168,24
http://www.ebi.ac.uk/efo/efo_0003761,GCST005903,29662059,4
http://www.ebi.ac.uk/efo/efo_0009360,GCST006365,29654602,4
http://www.ebi.ac.uk/efo/efo_0004841,GCST005748,29659830,11
http://www.ebi.ac.uk/efo/efo_0001360,GCST007518,29632382,35
http://www.ebi.ac.uk/efo/efo_0001360,GCST007516,29632382,35
http://www.ebi.ac.uk/efo/efo_0001360,GCST007517,29632382,32
http://www.ebi.ac.uk/efo/efo_0000094,GCST005832,29632299,11
http://www.ebi.ac.uk/efo/efo_0000195,GCST005878,29632305,10
http://www.ebi.ac.uk/efo/efo_0004327,GCST005905,29622589,15
http://www.ebi.ac.uk/efo/efo_0001360,GCST005912,29621232,3
http://www.ebi.ac.uk/efo/efo_0004541,GCST005914,29621232,1
http://www.ebi.ac.uk/efo/efo_0004466,GCST005915,29621232,1
http://www.ebi.ac.uk/efo/efo_0004465,GCST005913,29621232,5
http://www.ebi.ac.uk/efo/efo_0009132,GCST005671,29674289,3
http://www.ebi.ac.uk/efo/efo_0004541,GCST005753,29650774,1
http://www.ebi.ac.uk/efo/efo_0001360,GCST005753,29650774,1
http://purl.obolibrary.org/obo/go_1901558,GCST005753,29650774,1
http://www.ebi.ac.uk/efo/efo_0004841,GCST005749,29659830,24
http://www.ebi.ac.uk/efo/efo_0004841,GCST005750,29659830,12
http://www.ebi.ac.uk/efo/efo_0004752,GCST006431,30134803,30
http://www.ebi.ac.uk/efo/efo_0006527,GCST005916,29631575,2
http://www.ebi.ac.uk/efo/efo_0007813,GCST005916,29631575,2
http://www.ebi.ac.uk/efo/efo_0000341,GCST005916,29631575,2
http://www.ebi.ac.uk/efo/efo_0006527,GCST005919,29631575,3
http://www.ebi.ac.uk/efo/efo_0000341,GCST005919,29631575,3
http://www.ebi.ac.uk/efo/efo_0006520,GCST005919,29631575,3
http://www.ebi.ac.uk/efo/efo_0000341,GCST005918,29631575,2
http://www.ebi.ac.uk/efo/efo_0004319,GCST005918,29631575,2
http://www.ebi.ac.uk/efo/efo_0000341,GCST005917,29631575,2
http://www.ebi.ac.uk/efo/efo_0006525,GCST005917,29631575,2
http://www.ebi.ac.uk/efo/efo_0001360,GCST007515,29632382,37
http://www.ebi.ac.uk/efo/efo_0000478,GCST006531,29551738,3
http://www.ebi.ac.uk/efo/efo_0003948,GCST006531,29551738,3
http://www.ebi.ac.uk/efo/efo_0000478,GCST006532,29551738,1
http://www.ebi.ac.uk/efo/efo_0006526,GCST006532,29551738,1
http://www.ebi.ac.uk/efo/efo_0000478,GCST006530,29551738,2
http://www.ebi.ac.uk/efo/efo_0006527,GCST006530,29551738,2
http://www.ebi.ac.uk/efo/efo_0000478,GCST006525,29551738,0
http://www.ebi.ac.uk/efo/efo_0004340,GCST006525,29551738,0
http://www.ebi.ac.uk/efo/efo_0003928,GCST005800,29538362,29
http://www.ebi.ac.uk/efo/efo_0003917,GCST005800,29538362,29
http://www.ebi.ac.uk/efo/efo_0004993,GCST005761,29547969,1
http://www.ebi.ac.uk/efo/efo_0006525,GCST006299,29532581,0
http://www.ebi.ac.uk/efo/efo_0002506,GCST005811,29559693,29
http://www.ebi.ac.uk/efo/efo_1000786,GCST005812,29559693,8
http://www.ebi.ac.uk/efo/efo_0004616,GCST005812,29559693,8
http://www.ebi.ac.uk/efo/efo_0004616,GCST005813,29559693,7
http://www.ebi.ac.uk/efo/efo_0002506,GCST005814,29559693,6
http://www.ebi.ac.uk/efo/efo_1000786,GCST005810,29559693,5
http://www.ebi.ac.uk/efo/efo_0004465,GCST006404,29743933,5
http://www.ebi.ac.uk/efo/efo_0004307,GCST006404,29743933,5
http://www.ebi.ac.uk/efo/efo_0004466,GCST006404,29743933,5
http://purl.obolibrary.org/obo/hp_0009762,GCST006981,29555444,19
http://www.ebi.ac.uk/efo/efo_0004640,GCST005808,29572449,1
http://www.ebi.ac.uk/efo/efo_0001360,GCST005808,29572449,1
http://www.ebi.ac.uk/efo/efo_0009181,GCST005711,29628937,1
http://www.ebi.ac.uk/efo/efo_0009181,GCST005712,29628937,2
http://www.ebi.ac.uk/efo/efo_0009134,GCST005670,29563342,6
http://www.ebi.ac.uk/efo/efo_0009265,GCST005929,29563502,7
http://www.ebi.ac.uk/efo/efo_0000253,GCST005647,29566793,10
http://www.ebi.ac.uk/efo/efo_1000971,GCST005930,29563502,2
http://www.ebi.ac.uk/efo/efo_1000830,GCST006805,29670602,0
http://www.ebi.ac.uk/efo/efo_0005681,GCST006805,29670602,0
http://www.ebi.ac.uk/efo/efo_0009277,GCST005936,29618737,6
http://www.ebi.ac.uk/efo/efo_0009276,GCST005937,29618737,4
http://www.ebi.ac.uk/efo/efo_0009275,GCST005935,29618737,2
http://www.ebi.ac.uk/efo/efo_0009277,GCST005935,29618737,2
http://www.ebi.ac.uk/efo/efo_0009276,GCST005935,29618737,2
http://www.ebi.ac.uk/efo/efo_1001512,GCST005906,29608257,8
http://www.ebi.ac.uk/efo/efo_0001065,GCST005906,29608257,8
http://www.ebi.ac.uk/efo/efo_0006828,GCST006043,29650764,3
http://www.ebi.ac.uk/efo/efo_0009182,GCST005718,29603866,0
http://www.ebi.ac.uk/efo/efo_0009182,GCST005717,29603866,0
http://www.ebi.ac.uk/efo/efo_0009182,GCST005720,29603866,0
http://www.ebi.ac.uk/efo/efo_0009182,GCST005719,29603866,0
http://www.ebi.ac.uk/efo/efo_0007912,GCST005836,29559929,1
http://www.ebi.ac.uk/efo/efo_0003761,GCST005836,29559929,1
http://www.ebi.ac.uk/efo/efo_0005658,GCST005836,29559929,1
http://www.ebi.ac.uk/efo/efo_0003761,GCST005834,29559929,6
http://www.ebi.ac.uk/efo/efo_0005658,GCST005834,29559929,6
http://www.ebi.ac.uk/efo/efo_0007914,GCST005834,29559929,6
http://www.ebi.ac.uk/efo/efo_0004761,GCST005557,29559957,7
http://www.ebi.ac.uk/efo/efo_0003761,GCST005833,29559929,6
http://www.ebi.ac.uk/efo/efo_0005658,GCST005833,29559929,6
http://www.ebi.ac.uk/efo/efo_0007914,GCST005833,29559929,6
http://www.ebi.ac.uk/efo/efo_0003761,GCST005835,29559929,7
http://www.ebi.ac.uk/efo/efo_0007660,GCST005835,29559929,7
http://www.ebi.ac.uk/efo/efo_0005658,GCST005835,29559929,7
http://www.ebi.ac.uk/efo/efo_0003870,GCST005576,29531279,31
http://www.ebi.ac.uk/efo/efo_0009267,GCST005851,29631748,27
http://www.ebi.ac.uk/efo/efo_0007981,GCST005577,29523524,6
http://www.ebi.ac.uk/efo/efo_0000537,GCST005577,29523524,6
http://www.ebi.ac.uk/efo/efo_0004468,GCST005577,29523524,6
http://www.ebi.ac.uk/efo/efo_0009087,GCST005590,29523850,2
http://www.ebi.ac.uk/efo/efo_0004318,GCST006133,29518117,3
http://www.ebi.ac.uk/efo/efo_0007040,GCST006133,29518117,3
http://www.ebi.ac.uk/efo/efo_0003923,GCST006133,29518117,3
http://www.ebi.ac.uk/efo/efo_0009010,GCST005559,29535370,12
http://www.ebi.ac.uk/efo/efo_0007785,GCST005795,29499414,36
http://www.ebi.ac.uk/efo/efo_0007701,GCST005796,29499414,34
http://www.ebi.ac.uk/efo/efo_0009094,GCST005588,29495422,42
http://www.ebi.ac.uk/efo/efo_0000692,GCST006803,29483656,108
http://www.ebi.ac.uk/efo/efo_0003959,GCST005653,29535761,2
http://www.ebi.ac.uk/efo/efo_0009113,GCST005653,29535761,2
http://www.ebi.ac.uk/efo/efo_0009115,GCST005654,29535761,1
http://www.ebi.ac.uk/efo/efo_0003959,GCST005654,29535761,1
http://www.ebi.ac.uk/efo/efo_0005193,GCST005656,29535710,310
http://www.ebi.ac.uk/efo/efo_0009116,GCST005652,29535761,8
http://www.ebi.ac.uk/efo/efo_0003959,GCST005652,29535761,8
http://www.ebi.ac.uk/efo/efo_0009362,GCST006869,29532581,18
http://www.ebi.ac.uk/efo/efo_0009263,GCST006303,29532581,25
http://www.ebi.ac.uk/efo/efo_0003768,GCST006302,29532581,16
http://www.ebi.ac.uk/efo/efo_0009262,GCST006301,29532581,35
http://www.ebi.ac.uk/efo/efo_0009264,GCST006300,29532581,12
http://www.ebi.ac.uk/efo/efo_0004645,GCST005606,29534301,20
http://www.ebi.ac.uk/efo/efo_0009183,GCST005751,29527006,11
http://www.ebi.ac.uk/efo/efo_0004318,GCST006132,29518117,1
