STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008287,African American,906
GCST008286,European,735
GCST008286,African American,894
GCST008286,European,4318
GCST008286,African American,2046
GCST008285,European,3051
GCST008285,African American,1545
GCST008285,European,2001
GCST008285,African American,1395
GCST008283,European,5053
GCST008283,African American,2940
GCST007921,Korean,346
GCST007921,Korean,305
GCST008284,European,2280
GCST008284,African American,1911
GCST008284,European,1964
GCST008284,African American,815
GCST008366,Singaporean Chinese,6337
GCST008366,European,37505
GCST008103,European,9412
GCST008103,European,137760
GCST008397,Korean,27
GCST008397,Korean,27
GCST007833,Japanese,2289
GCST007833,Japanese,3817
GCST007832,Tiwi Islander,497
GCST008314,East Asian,216
GCST008314,East Asian,1026
GCST008375,European,672
GCST008375,European,940
GCST008376,European,960
GCST008376,European,940
GCST008311,European,196
GCST008311,European,226140
GCST008311,Hispanic,1121
GCST007731,East Asian,758
GCST008148,European,355
GCST007797,European,31002
GCST007797,European,16297
GCST008147,European,318
GCST008147,European,502
GCST007711,Korean,227
GCST007711,Korean,1061
GCST008096,Egyptian,321
GCST008096,Egyptian,253
GCST007799,European,16297
GCST007799,European,217711
GCST007800,European,31759
GCST007800,European,214890
GCST007718,European,109530
GCST008139,Han Chinese,385
GCST008139,Han Chinese,7445
GCST008317,Icelandic,1459
GCST007431,European,79005
GCST007432,European,79005
GCST007429,European,79005
GCST008770,Japanese,5140
GCST007495,European,574
GCST007536,European,7379
GCST008641,Indo European,1829
GCST008641,Hispanic,773
GCST007511,European,13292
GCST007511,European,17219
GCST007719,European,108800
GCST007717,European,108942
GCST007778,European,109166
GCST007721,European,109178
GCST007737,Han Chinese,234
GCST007737,Han Chinese,1018
GCST007736,Han Chinese,444
GCST007736,Han Chinese,808
GCST007690,European,3783
GCST007650,East Asian,758
GCST007277,Icelandic,706
GCST007277,Icelandic,6068
GCST007430,European,24218
GCST007406,European,81099
GCST007406,African,3073
GCST007406,South Asian,6921
GCST007406,Chinese,1422
GCST007406,Caribbean,3799
GCST008577,European,609
GCST008577,African American,171
GCST007437,Korean,6000
GCST007342,European,414055
GCST007342,European,892299
GCST007616,Korean,2955
GCST008578,European,487
GCST008578,African American,94
GCST008579,European,657
GCST008579,African American,171
GCST008580,European,438
GCST008581,European,63
GCST008582,European,609
GCST007440,Korean,6000
GCST007439,Korean,6000
GCST007441,Korean,6000
GCST007438,Korean,6000
GCST007442,Korean,6000
GCST007304,Asian,55
GCST007304,Asian,25
GCST007779,European,31
GCST007779,European,7125
GCST008716,Japanese,1275
GCST008716,Japanese,1610
GCST008714,Japanese,1091
GCST008714,Japanese,184
GCST008712,Japanese,2885
GCST008709,Japanese,2885
GCST008713,Japanese,435
GCST008713,Japanese,184
GCST007842,Han Chinese,2105
GCST007842,Han Chinese,3374
GCST007357,British,6932
GCST007730,European,1223
GCST007730,Japanese,260
GCST007730,European,5118
GCST007730,Japanese,261
GCST007576,European,248098
GCST007565,European,120478
GCST007565,European,127622
GCST007111,European,375
GCST007111,European,1455
GCST007282,African American,1886
GCST007282,African American,1892
GCST007282,South African Black,1217
GCST007282,South African Black,389
GCST007282,East Asian,2494
GCST007282,East Asian,1947
GCST007282,South Asian,724
GCST007282,South Asian,1425
GCST007282,European,41042
GCST007282,European,66575
GCST007282,Hispanic,2619
GCST007282,Hispanic,8802
GCST007285,African American,580
GCST007285,African American,1540
GCST007285,South African Black,1217
GCST007285,South African Black,389
GCST007285,East Asian,765
GCST007285,East Asian,1814
GCST007285,South Asian,724
GCST007285,South Asian,1424
GCST007285,European,32456
GCST007285,European,49510
GCST007285,Hispanic,2619
GCST007285,Hispanic,8803
GCST007281,African American,1886
GCST007281,African American,1892
GCST007281,South African Black,1217
GCST007281,South African Black,389
GCST007281,East Asian,2494
GCST007281,East Asian,1947
GCST007281,South Asian,724
GCST007281,South Asian,1425
GCST007281,European,41042
GCST007281,European,66575
GCST007281,Hispanic,2619
GCST007281,Hispanic,8802
GCST007283,African American,571
GCST007283,African American,1521
GCST007283,South African Black,1217
GCST007283,South African Black,389
GCST007283,East Asian,2495
GCST007283,East Asian,1947
GCST007283,South Asian,724
GCST007283,South Asian,1425
GCST007283,European,33796
GCST007283,European,50812
GCST007283,Hispanic,2578
GCST007283,Hispanic,8661
GCST007286,African American,580
GCST007286,African American,1540
GCST007286,South African Black,1217
GCST007286,South African Black,389
GCST007286,East Asian,765
GCST007286,East Asian,1814
GCST007286,South Asian,724
GCST007286,South Asian,1424
GCST007286,European,32456
GCST007286,European,49510
GCST007286,Hispanic,2619
GCST007286,Hispanic,8803
GCST007284,African American,571
GCST007284,African American,1521
GCST007284,South African Black,1217
GCST007284,South African Black,389
GCST007284,East Asian,2495
GCST007284,East Asian,1947
GCST007284,South Asian,724
GCST007284,South Asian,1425
GCST007284,European,33796
GCST007284,European,50812
GCST007284,Hispanic,2578
GCST007284,Hispanic,8661
GCST007050,Chilean Latino,626
GCST007050,Chilean Latino,1017
GCST007050,European,1909
GCST007050,European,4183
GCST007218,Carlantino,391
GCST007218,Fruili Venezia Giulia,981
GCST007218,European,31225
GCST007218,African American,2048
GCST007227,Carlantino,391
GCST007227,Fruili Venezia Giulia,981
GCST007227,European,30760
GCST007227,African American,2048
GCST007226,Carlantino,391
GCST007226,Fruili Venezia Giulia,981
GCST007226,European,31033
GCST007226,African American,2070
GCST007242,British,3532
GCST007242,British,20720
GCST007241,British,7526
GCST007241,British,20720
GCST007240,British,7526
GCST007240,British,3532
GCST007112,European,977
GCST007112,European,727
GCST007305,European,1202
GCST007774,Icelandic,113
GCST007774,Icelandic,239304
GCST007019,European,9382
GCST007019,African American,1488
GCST007019,Latino,2963
GCST007729,European,630
GCST007729,European,5118
GCST008105,European,4611
GCST008105,European,31478
GCST006935,European,1791
GCST007603,European,275596
GCST007604,European,275596
GCST007601,European,275596
GCST007602,European,275596
GCST008414,Icelandic,5501
GCST008414,Icelandic,301041
GCST008498,European,980
GCST008499,European,779
GCST008500,European,1303
GCST008501,European,1011
GCST008273,African American,88
GCST008647,African,7612
GCST008647,South Asian,10095
GCST008648,African,7612
GCST008648,South Asian,10095
GCST007100,European,1697
GCST008678,African,1825
GCST008678,Asian,16241
GCST008678,European,32416
GCST008678,Hispanic,3570
GCST008678,African,5392
GCST008678,Asian,65276
GCST008678,European,114795
GCST008678,Hispanic,13952
GCST008681,African,2827
GCST008681,Asian,37952
GCST008681,European,82808
GCST008681,Hispanic,7091
GCST008681,African,2785
GCST008681,Asian,43565
GCST008681,European,64252
GCST008681,Hispanic,10431
GCST008682,African,2827
GCST008682,Asian,37952
GCST008682,European,82808
GCST008682,Hispanic,7091
GCST008682,African,2785
GCST008682,Asian,43565
GCST008682,European,64252
GCST008682,Hispanic,10431
GCST008686,African,1357
GCST008686,Asian,8901
GCST008686,European,25008
GCST008686,Hispanic,3441
GCST008686,African,3967
GCST008686,Asian,39448
GCST008686,European,92432
GCST008686,Hispanic,13555
GCST008687,African,1357
GCST008687,Asian,8901
GCST008687,European,25008
GCST008687,Hispanic,3441
GCST008687,African,3967
GCST008687,Asian,39448
GCST008687,European,92432
GCST008687,Hispanic,13555
GCST008690,African,1693
GCST008690,Asian,20368
GCST008690,European,65806
GCST008690,Hispanic,6857
GCST008690,African,2025
GCST008690,Asian,27981
GCST008690,European,51361
GCST008690,Hispanic,10139
GCST008691,African,1693
GCST008691,Asian,20368
GCST008691,European,65806
GCST008691,Hispanic,6857
GCST008691,African,2025
GCST008691,Asian,27981
GCST008691,European,51361
GCST008691,Hispanic,10139
GCST008694,African,1367
GCST008694,Asian,22744
GCST008694,European,22268
GCST008694,Hispanic,2899
GCST008694,African,3989
GCST008694,Asian,89177
GCST008694,European,86885
GCST008694,Hispanic,11811
GCST008695,African,1367
GCST008695,Asian,22744
GCST008695,European,22268
GCST008695,Hispanic,2899
GCST008695,African,3989
GCST008695,Asian,89177
GCST008695,European,86885
GCST008695,Hispanic,11811
GCST008698,African,1710
GCST008698,Asian,54217
GCST008698,European,11550
GCST008698,Hispanic,5915
GCST008698,African,2040
GCST008698,Asian,57704
GCST008698,European,47916
GCST008698,Hispanic,8795
GCST008699,African,1710
GCST008699,Asian,54217
GCST008699,European,11550
GCST008699,Hispanic,5915
GCST008699,African,2040
GCST008699,Asian,57704
GCST008699,European,60675
GCST008699,Hispanic,8795
GCST008677,African,1825
GCST008677,Asian,16241
GCST008677,European,32416
GCST008677,Hispanic,3570
GCST008677,African,5392
GCST008677,Asian,65276
GCST008677,European,114795
GCST008677,Hispanic,13952
GCST007556,European,2119
GCST007556,European,142379
GCST007387,European,17140
GCST007387,European,61850
GCST007388,European,17140
GCST007388,European,61850
GCST008244,European,836
GCST008244,European,2298
GCST008247,European,230
GCST008247,European,1736
GCST008245,European,459
GCST008245,European,2675
GCST008246,European,92
GCST008246,European,1874
GCST007384,Japanese,665
GCST007386,Japanese,665
GCST008703,European,8789
GCST008704,European,8789
GCST008705,European,8789
GCST008715,European,8789
GCST008652,European,2196
GCST008652,European,9109
GCST008653,European,2529
GCST008653,European,9109
GCST008654,European,2196
GCST008654,European,2529
GCST008654,European,9109
GCST008522,European,39924
GCST008524,European,39924
GCST008526,European,39924
GCST008529,European,39924
GCST008531,European,39924
GCST008528,European,39924
GCST008527,European,39924
GCST008525,European,39924
GCST008523,European,39924
GCST008521,European,39924
GCST008365,Han Chinese,362
GCST008365,Han Chinese,1089
GCST008278,European,9383
GCST008278,East Asian,6351
GCST008279,European,8065
GCST008279,East Asian,5711
GCST008280,European,7912
GCST008280,East Asian,5696
GCST008282,European,14932
GCST008282,East Asian,6345
GCST008281,European,7912
GCST008281,East Asian,5699
GCST008271,European,3
GCST008271,European,85
GCST008307,Northeast Asian,101
GCST008307,Northeast Asian,103
GCST007881,European,108
GCST007881,European,75545
GCST008058,European,216518
GCST008058,Hispanic,64204
GCST008059,European,216518
GCST008121,European,7092
GCST008121,European,51761
GCST007725,European,101293
GCST008140,Korean,1065
GCST008140,Korean,1053
GCST008150,Korean,5273
GCST008141,Korean,5273
GCST008142,Korean,5273
GCST008143,Korean,5273
GCST008144,Korean,5273
GCST008145,Korean,5273
GCST008446,European,306
GCST008446,African American,169
GCST008447,European,306
GCST008447,African American,169
GCST008070,European,136986
GCST008070,African American or Afro Caribbean,4475
GCST008070,Asian,108431
GCST008070,Hispanic,13714
GCST008070,Brazilian,3652
GCST008086,European,107548
GCST008086,African American or Afro Caribbean,2028
GCST008086,Asian,41240
GCST008086,Hispanic,6622
GCST008086,Brazilian,1984
GCST008085,European,107548
GCST008085,African American or Afro Caribbean,2028
GCST008085,Asian,41240
GCST008085,Hispanic,6622
GCST008085,Brazilian,1984
GCST008087,European,107548
GCST008087,African American or Afro Caribbean,2028
GCST008087,Asian,41240
GCST008087,Hispanic,6622
GCST008087,Brazilian,1984
GCST008084,European,107548
GCST008084,African American or Afro Caribbean,2028
GCST008084,Asian,41240
GCST008084,Hispanic,6622
GCST008084,Brazilian,1984
GCST008084,European,29438
GCST008084,African American or Afro Caribbean,2447
GCST008084,Asian,67191
GCST008084,Hispanic,7092
GCST008084,Brazilian,1668
GCST008083,European,107548
GCST008083,African American or Afro Caribbean,2028
GCST008083,Asian,41240
GCST008083,Hispanic,6622
GCST008083,Brazilian,1984
GCST008083,European,29438
GCST008083,African American or Afro Caribbean,2447
GCST008083,Asian,67191
GCST008083,Hispanic,7092
GCST008083,Brazilian,1668
GCST008082,European,107548
GCST008082,African American or Afro Caribbean,2028
GCST008082,Asian,41240
GCST008082,Hispanic,6622
GCST008082,Brazilian,1984
GCST008082,European,29438
GCST008082,African American or Afro Caribbean,2447
GCST008082,Asian,67191
GCST008082,Hispanic,7092
GCST008082,Brazilian,1668
GCST008081,European,107548
GCST008081,African American or Afro Caribbean,2028
GCST008081,Asian,41240
GCST008081,Hispanic,6622
GCST008081,Brazilian,1984
GCST008081,European,29438
GCST008081,African American or Afro Caribbean,2447
GCST008081,Asian,67191
GCST008081,Hispanic,7092
GCST008081,Brazilian,1668
GCST008080,European,107548
GCST008080,African American or Afro Caribbean,2028
GCST008080,Asian,41240
GCST008080,Hispanic,6622
GCST008080,Brazilian,1984
GCST008080,European,29438
GCST008080,African American or Afro Caribbean,2447
GCST008080,Asian,67191
GCST008080,Hispanic,7092
GCST008080,Brazilian,1668
GCST008079,European,107548
GCST008079,African American or Afro Caribbean,2028
GCST008079,Asian,41240
GCST008079,Hispanic,6622
GCST008079,Brazilian,1984
GCST008079,European,29438
GCST008079,African American or Afro Caribbean,2447
GCST008079,Asian,67191
GCST008079,Hispanic,7092
GCST008079,Brazilian,1668
GCST008078,European,71281
GCST008078,African American or Afro Caribbean,711
GCST008078,Asian,35088
GCST008078,Hispanic,3742
GCST008078,European,36267
GCST008078,African American or Afro Caribbean,1317
GCST008078,Asian,6152
GCST008078,Hispanic,2880
GCST008077,European,136986
GCST008077,African American or Afro Caribbean,4475
GCST008077,Asian,108431
GCST008077,Hispanic,13714
GCST008077,Brazilian,3652
GCST008076,European,136986
GCST008076,African American or Afro Caribbean,4475
GCST008076,Asian,108431
GCST008076,Hispanic,13714
GCST008076,Brazilian,3652
GCST008075,European,71281
GCST008075,African American or Afro Caribbean,711
GCST008075,Asian,35088
GCST008075,Hispanic,3742
GCST008075,European,36267
GCST008075,African American or Afro Caribbean,1317
GCST008075,Asian,6152
GCST008075,Hispanic,2880
GCST008074,European,71281
GCST008074,African American or Afro Caribbean,711
GCST008074,Asian,35088
GCST008074,Hispanic,3742
GCST008074,European,36267
GCST008074,African American or Afro Caribbean,1317
GCST008074,Asian,6152
GCST008074,Hispanic,2880
GCST008073,European,71281
GCST008073,African American or Afro Caribbean,711
GCST008073,Asian,35088
GCST008073,Hispanic,3742
GCST008073,European,36267
GCST008073,African American or Afro Caribbean,1317
GCST008073,Asian,6152
GCST008073,Hispanic,2880
GCST008072,European,71281
GCST008072,African American or Afro Caribbean,711
GCST008072,Asian,35088
GCST008072,Hispanic,3742
GCST008072,European,36267
GCST008072,African American or Afro Caribbean,1317
GCST008072,Asian,6152
GCST008072,Hispanic,2880
GCST008071,European,71281
GCST008071,African American or Afro Caribbean,711
GCST008071,Asian,35088
GCST008071,Hispanic,3742
GCST008071,European,36267
GCST008071,African American or Afro Caribbean,1317
GCST008071,Asian,6152
GCST008071,Hispanic,2880
GCST007484,European,132177
GCST007487,European,132177
GCST007483,European,132177
GCST007491,European,132177
GCST007492,European,62500
GCST007493,European,62500
GCST007494,European,62500
GCST007496,European,62500
GCST007500,European,62368
GCST007501,European,62368
GCST007502,European,62368
GCST007503,European,62368
GCST007293,British,112425
GCST007293,British,133936
GCST007295,British,112425
GCST007295,British,133936
GCST007294,British,112425
GCST007294,British,133936
GCST007801,European,5819
GCST007802,European,5819
GCST007803,European,5819
GCST007804,European,4401
GCST007805,European,5819
GCST007806,European,5819
GCST007807,European,5819
GCST007808,European,4401
GCST007818,European,455
GCST007822,European,213
GCST007339,European,59206
GCST007340,European,228033
GCST007341,European,287239
GCST007322,European,35445
GCST008435,Korean,2327
GCST008435,Korean,49
GCST008435,Korean,234
