	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
110	GCST008322	White blood cell count	White blood cell count	Hematological measurement
111	GCST008322	White blood cell count	White blood cell count	Inflammatory measurement
112	GCST008322	White blood cell count	White blood cell count	Hematological measurement
113	GCST008322	White blood cell count	White blood cell count	Hematological measurement
114	GCST008322	White blood cell count	White blood cell count	Hematological measurement
115	GCST008329	Red blood cell count	Red blood cell count	Hematological measurement
116	GCST008330	Mean corpuscular volume	Mean corpuscular volume	Hematological measurement
117	GCST008331	Mean corpuscular hemoglobin	Mean corpuscular hemoglobin	Hematological measurement
118	GCST008331	Mean corpuscular hemoglobin	Mean corpuscular hemoglobin	Hematological measurement
119	GCST008332	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	Hematological measurement
120	GCST008332	Mean corpuscular hemoglobin concentration	Mean corpuscular hemoglobin concentration	Hematological measurement
121	GCST008333	Red cell distribution width	Red cell distribution width	Hematological measurement
122	GCST008323	Hematocrit	Hematocrit	Hematological measurement
123	GCST008324	Hemoglobin	Hemoglobin	Hematological measurement
124	GCST008334	Neutrophil count	Neutrophil count	Hematological measurement
125	GCST008325	Platelet count	Platelet count	Hematological measurement
126	GCST008326	Lymphocyte counts	Lymphocyte counts	Hematological measurement
127	GCST008327	Monocyte count	Monocyte count	Hematological measurement
128	GCST008328	Basophil count	Basophil count	Inflammatory measurement
129	GCST008335	Eosinophil counts	Eosinophil counts	Hematological measurement
130	GCST008336	Mean platelet volume	Mean platelet volume	Hematological measurement
131	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
132	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
133	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
134	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
135	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
136	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Inflammatory measurement
137	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
138	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
139	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
140	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
141	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
142	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
143	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
144	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
145	GCST008337	Blood cell traits (multivariate analysis)	Blood cell traits (multivariate analysis)	Hematological measurement
146	GCST008315	Corneal hysteresis	Corneal hysteresis	Other measurement
147	GCST008318	Corneal resistance factor	Corneal resistance factor	Other measurement
148	GCST008319	Intraocular pressure (corneal compensated)	Intraocular pressure (corneal compensated)	Other measurement
149	GCST008320	Intraocular pressure (Goldman correlated)	Intraocular pressure (Goldman correlated)	Other measurement
150	GCST008317	Central corneal thickness	Central corneal thickness	Other measurement
151	GCST008317	Central corneal thickness	Central corneal thickness	Other measurement
152	GCST008339	Corneal endothelial cell density	Corneal endothelial cell density	Other measurement
153	GCST008316	Corneal endothelial cell size variation coefficient	Corneal endothelial cell size variation coefficient	Other measurement
154	GCST008321	Corneal endothelial cell shape (percentage of hexagonally shaped cells)	Corneal endothelial cell shape (percentage of hexagonally shaped cells)	Other measurement
155	GCST007552	Colorectal cancer	Colorectal cancer	Cancer
156	GCST007592	Handedness (Left-handed vs. non-left-handed)	Handedness (Left-handed vs. non-left-handed)	Other trait
157	GCST007594	Handedness (Right-handed vs. non-right-handed)	Handedness (Right-handed vs. non-right-handed)	Other trait
158	GCST007593	Ambidextrousness	Ambidextrousness	Other trait
159	GCST008652	same-sex sexual behaviour	same-sex sexual behaviour	Biological process
160	GCST008653	same-sex sexual behaviour	same-sex sexual behaviour	Biological process
161	GCST008654	same-sex sexual behaviour	same-sex sexual behaviour	Biological process
162	GCST008655	proportion of same-sex sexual behaviour among non-heterosexuals	proportion of same-sex sexual behaviour among non-heterosexuals	Biological process
163	GCST008656	proportion of same-sex sexual behaviour among non-heterosexuals	proportion of same-sex sexual behaviour among non-heterosexuals	Biological process
164	GCST008657	proportion of same-sex sexual behaviour among non-heterosexuals	proportion of same-sex sexual behaviour among non-heterosexuals	Biological process
165	GCST008649	same-sex sexual behaviour	same-sex sexual behaviour	Biological process
166	GCST008650	same-sex sexual behaviour	same-sex sexual behaviour	Biological process
167	GCST008651	same-sex sexual behaviour	same-sex sexual behaviour	Biological process
168	GCST008274	Cerebral microbleed progression	Cerebral microbleed progression	Other trait
169	GCST008274	Cerebral microbleed progression	Cerebral microbleed progression	Other measurement
170	GCST008275	Cerebral microbleeds	Cerebral microbleeds	Other trait
171	GCST008922	Triacylglyceride levels	Triacylglyceride levels	Lipid or lipoprotein measurement
172	GCST008923	Ceramide levels	Ceramide levels	Lipid or lipoprotein measurement
173	GCST008924	Diacylglyceride levels	Diacylglyceride levels	Lipid or lipoprotein measurement
174	GCST008925	Lysophosphatidylcholine levels	Lysophosphatidylcholine levels	Lipid or lipoprotein measurement
175	GCST008926	Lysophosphatidylethanolamine levels	Lysophosphatidylethanolamine levels	Lipid or lipoprotein measurement
176	GCST008927	Phosphatidylcholine levels	Phosphatidylcholine levels	Lipid or lipoprotein measurement
177	GCST008928	Phosphatidylcholine-ether levels	Phosphatidylcholine-ether levels	Lipid or lipoprotein measurement
178	GCST008929	Phosphatidylethanolamine levels	Phosphatidylethanolamine levels	Lipid or lipoprotein measurement
179	GCST008930	Phosphatidylethanolamine-ether levels	Phosphatidylethanolamine-ether levels	Lipid or lipoprotein measurement
180	GCST008931	Phosphatidylinositol levels	Phosphatidylinositol levels	Lipid or lipoprotein measurement
181	GCST008932	Cholesteryl ester levels	Cholesteryl ester levels	Lipid or lipoprotein measurement
182	GCST008933	Sphingomyelin levels	Sphingomyelin levels	Lipid or lipoprotein measurement
183	GCST008934	Sterol levels	Sterol levels	Lipid or lipoprotein measurement
184	GCST008935	Low density lipoprotein cholesterol levels	Low density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
185	GCST008936	High density lipoprotein cholesterol levels	High density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
186	GCST008937	Triglyceride levels	Triglyceride levels	Lipid or lipoprotein measurement
187	GCST008938	Total cholesterol levels	Total cholesterol levels	Lipid or lipoprotein measurement
188	GCST008833	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
189	GCST008403	Arterial stiffness index	Arterial stiffness index	Cardiovascular measurement
190	GCST008873	Non-lobar intracerebral hemorrhage	Non-lobar intracerebral hemorrhage	Cardiovascular disease
191	GCST008874	Lobar intracerebral hemorrhage	Lobar intracerebral hemorrhage	Cardiovascular disease
192	GCST008875	Intracerebral hemorrhage (MTAG)	Intracerebral hemorrhage (MTAG)	Cardiovascular disease
193	GCST008876	Non-lobar intracerebral hemorrhage (MTAG)	Non-lobar intracerebral hemorrhage (MTAG)	Cardiovascular disease
194	GCST008877	Lobar intracerebral hemorrhage (MTAG)	Lobar intracerebral hemorrhage (MTAG)	Cardiovascular disease
195	GCST008878	Intracerebral hemorrhage	Intracerebral hemorrhage	Cardiovascular disease
196	GCST007581	Carpal tunnel syndrome	Carpal tunnel syndrome	Neurological disorder
197	GCST007738	Metabolic syndrome	Metabolic syndrome	Body measurement
198	GCST007738	Metabolic syndrome	Metabolic syndrome	Lipid or lipoprotein measurement
199	GCST007738	Metabolic syndrome	Metabolic syndrome	Other measurement
200	GCST007738	Metabolic syndrome	Metabolic syndrome	Metabolic disorder
201	GCST007738	Metabolic syndrome	Metabolic syndrome	Metabolic disorder
202	GCST008603	Total body bone mineral density (MTAG)	Total body bone mineral density (MTAG)	Other measurement
203	GCST008602	Heel bone mineral density (MTAG)	Heel bone mineral density (MTAG)	Other measurement
204	GCST008807	Smoking behaviour (age at first cigarette)	Smoking behaviour (age at first cigarette)	Other measurement
205	GCST008807	Smoking behaviour (age at first cigarette)	Smoking behaviour (age at first cigarette)	Biological process
206	GCST008804	Smoking behaviour (cigarettes smoked per day)	Smoking behaviour (cigarettes smoked per day)	Other measurement
207	GCST008805	Alcohol consumption (drinks per week)	Alcohol consumption (drinks per week)	Biological process
208	GCST008805	Alcohol consumption (drinks per week)	Alcohol consumption (drinks per week)	Other measurement
209	GCST008808	Smoking behaviour (cigarette pack-years)	Smoking behaviour (cigarette pack-years)	Other measurement
210	GCST008808	Smoking behaviour (cigarette pack-years)	Smoking behaviour (cigarette pack-years)	Other measurement
211	GCST008806	Smoking initiation (ever regular vs never regular)	Smoking initiation (ever regular vs never regular)	Other measurement
212	GCST008806	Smoking initiation (ever regular vs never regular)	Smoking initiation (ever regular vs never regular)	Biological process
213	GCST008802	Smoking behaviour (age at first cigarette)	Smoking behaviour (age at first cigarette)	Other measurement
214	GCST008802	Smoking behaviour (age at first cigarette)	Smoking behaviour (age at first cigarette)	Biological process
215	GCST008809	Smoking behaviour (cigarettes smoked per day)	Smoking behaviour (cigarettes smoked per day)	Other measurement
216	GCST008803	Smoking behaviour (cigarette pack-years)	Smoking behaviour (cigarette pack-years)	Other measurement
217	GCST008803	Smoking behaviour (cigarette pack-years)	Smoking behaviour (cigarette pack-years)	Other measurement
218	GCST008810	Smoking initiation (ever regular vs never regular)	Smoking initiation (ever regular vs never regular)	Other measurement
219	GCST008810	Smoking initiation (ever regular vs never regular)	Smoking initiation (ever regular vs never regular)	Biological process
220	GCST008811	Alcohol consumption (drinks per week)	Alcohol consumption (drinks per week)	Biological process
221	GCST008811	Alcohol consumption (drinks per week)	Alcohol consumption (drinks per week)	Other measurement
222	GCST008358	Response to cognitive-behavioural therapy in anxiety and major depressive disorders	Response to cognitive-behavioural therapy in anxiety and major depressive disorders	Other trait
223	GCST008358	Response to cognitive-behavioural therapy in anxiety and major depressive disorders	Response to cognitive-behavioural therapy in anxiety and major depressive disorders	Neurological disorder
224	GCST008358	Response to cognitive-behavioural therapy in anxiety and major depressive disorders	Response to cognitive-behavioural therapy in anxiety and major depressive disorders	Neurological disorder
225	GCST008359	Response to cognitive-behavioural therapy in anxiety disorder	Response to cognitive-behavioural therapy in anxiety disorder	Other trait
226	GCST008359	Response to cognitive-behavioural therapy in anxiety disorder	Response to cognitive-behavioural therapy in anxiety disorder	Neurological disorder
227	GCST008360	Response to cognitive-behavioural therapy in anxiety disorder	Response to cognitive-behavioural therapy in anxiety disorder	Other trait
228	GCST008360	Response to cognitive-behavioural therapy in anxiety disorder	Response to cognitive-behavioural therapy in anxiety disorder	Neurological disorder
229	GCST008361	Response to cognitive-behavioural therapy in major depressive disorder	Response to cognitive-behavioural therapy in major depressive disorder	Other trait
230	GCST008361	Response to cognitive-behavioural therapy in major depressive disorder	Response to cognitive-behavioural therapy in major depressive disorder	Neurological disorder
231	GCST005146	Birth weight	Birth weight	Body measurement
232	GCST007557	Birth weight	Birth weight	Body measurement
233	GCST008388	Acute post-radiotherapy pain in breast cancer	Acute post-radiotherapy pain in breast cancer	Other trait
234	GCST008388	Acute post-radiotherapy pain in breast cancer	Acute post-radiotherapy pain in breast cancer	Cancer
235	GCST008388	Acute post-radiotherapy pain in breast cancer	Acute post-radiotherapy pain in breast cancer	Biological process
236	GCST008801	Thiopurine-induced myelosuppression in inflammatory bowel disease	Thiopurine-induced myelosuppression in inflammatory bowel disease	Digestive system disorder
237	GCST008801	Thiopurine-induced myelosuppression in inflammatory bowel disease	Thiopurine-induced myelosuppression in inflammatory bowel disease	Response to drug
238	GCST008801	Thiopurine-induced myelosuppression in inflammatory bowel disease	Thiopurine-induced myelosuppression in inflammatory bowel disease	Other trait
239	GCST007881	Dementia with Lewy bodies	Dementia with Lewy bodies	Other trait
240	GCST007846	Arterial stiffness	Arterial stiffness	Cardiovascular measurement
241	GCST008823	Body mass index	Body mass index	Body measurement
242	GCST008823	Body mass index	Body mass index	Body measurement
243	GCST008823	Body mass index	Body mass index	Other measurement
244	GCST007400	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
245	GCST005752	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
246	GCST007672	3-month functional outcome in ischaemic stroke (modified Rankin score)	3-month functional outcome in ischaemic stroke (modified Rankin score)	Other trait
247	GCST007672	3-month functional outcome in ischaemic stroke (modified Rankin score)	3-month functional outcome in ischaemic stroke (modified Rankin score)	Other measurement
248	GCST007673	3-month functional outcome in ischaemic stroke (modified Rankin score)	3-month functional outcome in ischaemic stroke (modified Rankin score)	Other trait
249	GCST007673	3-month functional outcome in ischaemic stroke (modified Rankin score)	3-month functional outcome in ischaemic stroke (modified Rankin score)	Other measurement
250	GCST007674	3-month functional outcome in lacunar ischaemic stroke (modified Rankin score)	3-month functional outcome in lacunar ischaemic stroke (modified Rankin score)	Cardiovascular disease
251	GCST007674	3-month functional outcome in lacunar ischaemic stroke (modified Rankin score)	3-month functional outcome in lacunar ischaemic stroke (modified Rankin score)	Other measurement
252	GCST007675	3-month functional outcome in non-lacunar ischaemic stroke (modified Rankin score)	3-month functional outcome in non-lacunar ischaemic stroke (modified Rankin score)	Other trait
253	GCST007675	3-month functional outcome in non-lacunar ischaemic stroke (modified Rankin score)	3-month functional outcome in non-lacunar ischaemic stroke (modified Rankin score)	Other measurement
254	GCST007676	3-month functional outcome in ischaemic stroke (modified Rankin score)	3-month functional outcome in ischaemic stroke (modified Rankin score)	Other trait
255	GCST007676	3-month functional outcome in ischaemic stroke (modified Rankin score)	3-month functional outcome in ischaemic stroke (modified Rankin score)	Other measurement
256	GCST008056	Alzheimer's disease (SNP x SNP interaction)	Alzheimer's disease (SNP x SNP interaction)	Neurological disorder
257	GCST008433	Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)	Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)	Lipid or lipoprotein measurement
258	GCST008433	Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)	Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)	Cardiovascular disease
259	GCST008502	Low susceptibility to hepatitis C infection	Low susceptibility to hepatitis C infection	Other trait
260	GCST007587	Attention deficit hyperactivity disorder or hippocampal volume (pleiotropy)	Attention deficit hyperactivity disorder or hippocampal volume (pleiotropy)	Neurological disorder
261	GCST007587	Attention deficit hyperactivity disorder or hippocampal volume (pleiotropy)	Attention deficit hyperactivity disorder or hippocampal volume (pleiotropy)	Other measurement
262	GCST007583	Attention deficit hyperactivity disorder or nucleus accumbens volume (pleiotropy)	Attention deficit hyperactivity disorder or nucleus accumbens volume (pleiotropy)	Other measurement
263	GCST007583	Attention deficit hyperactivity disorder or nucleus accumbens volume (pleiotropy)	Attention deficit hyperactivity disorder or nucleus accumbens volume (pleiotropy)	Neurological disorder
264	GCST007591	Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy)	Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy)	Neurological disorder
265	GCST007591	Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy)	Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy)	Other measurement
266	GCST007590	Hippocampal volume	Hippocampal volume	Other measurement
267	GCST008684	HDL cholesterol levels in never smokers	HDL cholesterol levels in never smokers	Other measurement
268	GCST008684	HDL cholesterol levels in never smokers	HDL cholesterol levels in never smokers	Lipid or lipoprotein measurement
269	GCST008685	HDL cholesterol levels	HDL cholesterol levels	Lipid or lipoprotein measurement
270	GCST008686	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	Other measurement
271	GCST008686	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test)	Lipid or lipoprotein measurement
272	GCST008687	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	Other measurement
273	GCST008687	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	LDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)	Lipid or lipoprotein measurement
274	GCST008688	LDL cholesterol levels in current smokers	LDL cholesterol levels in current smokers	Other measurement
275	GCST008688	LDL cholesterol levels in current smokers	LDL cholesterol levels in current smokers	Lipid or lipoprotein measurement
276	GCST008689	LDL cholesterol levels in non smokers	LDL cholesterol levels in non smokers	Other measurement
277	GCST008689	LDL cholesterol levels in non smokers	LDL cholesterol levels in non smokers	Lipid or lipoprotein measurement
278	GCST008690	LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test)	Other measurement
