	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
81	GCST000360	Warfarin maintenance dose	Warfarin maintenance dose	Response to drug
82	GCST000377	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
83	GCST000571	Fasting blood insulin	Fasting blood insulin	Other measurement
84	GCST000568	Fasting blood glucose	Fasting blood glucose	Other measurement
85	GCST005179	Homeostasis model assessment of insulin resistance	Homeostasis model assessment of insulin resistance	Other measurement
86	GCST005179	Homeostasis model assessment of insulin resistance	Homeostasis model assessment of insulin resistance	Other trait
87	GCST005180	Homeostasis model assessment of beta-cell function	Homeostasis model assessment of beta-cell function	Other measurement
88	GCST000611	Height	Height	Other measurement
89	GCST000611	Height	Height	Body measurement
90	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Other measurement
91	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Inflammatory measurement
92	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Inflammatory measurement
93	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Response to drug
94	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Inflammatory measurement
95	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Inflammatory measurement
96	GCST001371	Inflammatory biomarkers	Inflammatory biomarkers	Inflammatory measurement
97	GCST001386	Acute graft versus host disease	Acute graft versus host disease	Immune system disorder
98	GCST000558	Osteoarthritis	Osteoarthritis	Other disease
99	GCST000162	Breast cancer	Breast cancer	Cancer
100	GCST000238	Idiopathic pulmonary fibrosis	Idiopathic pulmonary fibrosis	Cancer
101	GCST000405	Menarche (age at onset)	Menarche (age at onset)	Other measurement
102	GCST000865	Response to anti-TNF therapy in rheumatoid arthritis	Response to anti-TNF therapy in rheumatoid arthritis	Immune system disorder
103	GCST000865	Response to anti-TNF therapy in rheumatoid arthritis	Response to anti-TNF therapy in rheumatoid arthritis	Response to drug
104	GCST001815	Hepatitis C induced liver cirrhosis	Hepatitis C induced liver cirrhosis	Cancer
105	GCST001726	Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	Lipid or lipoprotein measurement
106	GCST001727	Lipoprotein-associated phospholipase A2 activity and mass	Lipoprotein-associated phospholipase A2 activity and mass	Lipid or lipoprotein measurement
107	GCST000023	Crohn's disease	Crohn's disease	Digestive system disorder
108	GCST000015	Progressive supranuclear palsy	Progressive supranuclear palsy	Neurological disorder
109	GCST000017	Prostate cancer	Prostate cancer	Cancer
110	GCST000275	Hearing impairment	Hearing impairment	Neurological disorder
111	GCST000016	Schizophrenia	Schizophrenia	Neurological disorder
112	GCST000121	Alzheimer's disease	Alzheimer's disease	Neurological disorder
113	GCST001340	Pelvic organ prolapse	Pelvic organ prolapse	Other disease
114	GCST000403	Menarche and menopause (age at onset)	Menarche and menopause (age at onset)	Other measurement
115	GCST000403	Menarche and menopause (age at onset)	Menarche and menopause (age at onset)	Other measurement
116	GCST000328	Biochemical measures	Biochemical measures	Cardiovascular measurement
117	GCST000328	Biochemical measures	Biochemical measures	Hematological measurement
118	GCST000328	Biochemical measures	Biochemical measures	Lipid or lipoprotein measurement
119	GCST000328	Biochemical measures	Biochemical measures	Lipid or lipoprotein measurement
120	GCST000328	Biochemical measures	Biochemical measures	Other measurement
121	GCST000328	Biochemical measures	Biochemical measures	Lipid or lipoprotein measurement
122	GCST000328	Biochemical measures	Biochemical measures	Lipid or lipoprotein measurement
123	GCST000853	Ulcerative colitis	Ulcerative colitis	Immune system disorder
124	GCST000843	Colorectal cancer	Colorectal cancer	Cancer
125	GCST000373	Stroke (ischemic)	Stroke (ischemic)	Cardiovascular disease
126	GCST000310	Alzheimer's disease	Alzheimer's disease	Neurological disorder
127	GCST001082	Orofacial clefts (maternal alcohol consumption interaction)	Orofacial clefts (maternal alcohol consumption interaction)	Other disease
128	GCST001082	Orofacial clefts (maternal alcohol consumption interaction)	Orofacial clefts (maternal alcohol consumption interaction)	Other trait
129	GCST001082	Orofacial clefts (maternal alcohol consumption interaction)	Orofacial clefts (maternal alcohol consumption interaction)	Other measurement
130	GCST000921	Age-related macular degeneration	Age-related macular degeneration	Neurological disorder
131	GCST000921	Age-related macular degeneration	Age-related macular degeneration	Neurological disorder
132	GCST000756	Magnesium levels	Magnesium levels	Other measurement
133	GCST000386	Bilirubin levels	Bilirubin levels	Other measurement
134	GCST002036	Congenital heart malformation	Congenital heart malformation	Cardiovascular disease
135	GCST001103	Alcohol consumption (transferrin glycosylation)	Alcohol consumption (transferrin glycosylation)	Biological process
136	GCST000850	Body mass in chronic obstructive pulmonary disease	Body mass in chronic obstructive pulmonary disease	Other disease
137	GCST000850	Body mass in chronic obstructive pulmonary disease	Body mass in chronic obstructive pulmonary disease	Body measurement
138	GCST000099	Mean forced vital capacity from 2 exams	Mean forced vital capacity from 2 exams	Other measurement
139	GCST000106	Pulmonary function	Pulmonary function	Other measurement
140	GCST000106	Pulmonary function	Pulmonary function	Other measurement
141	GCST000106	Pulmonary function	Pulmonary function	Other measurement
142	GCST000106	Pulmonary function	Pulmonary function	Other measurement
143	GCST000176	Height	Height	Other measurement
144	GCST000176	Height	Height	Body measurement
145	GCST000918	HIV-1 susceptibility	HIV-1 susceptibility	Immune system disorder
146	GCST000918	HIV-1 susceptibility	HIV-1 susceptibility	Other disease
147	GCST001379	Longevity	Longevity	Other measurement
148	GCST000879	Crohn's disease	Crohn's disease	Digestive system disorder
149	GCST000173	Psoriasis	Psoriasis	Immune system disorder
150	GCST000171	Nicotine dependence	Nicotine dependence	Neurological disorder
151	GCST000315	Alzheimer's disease	Alzheimer's disease	Neurological disorder
152	GCST000402	Response to lithium treatment in bipolar disorder	Response to lithium treatment in bipolar disorder	Response to drug
153	GCST000402	Response to lithium treatment in bipolar disorder	Response to lithium treatment in bipolar disorder	Neurological disorder
154	GCST000175	Height	Height	Other measurement
155	GCST000175	Height	Height	Body measurement
156	GCST000542	Pulmonary function	Pulmonary function	Other measurement
157	GCST000542	Pulmonary function	Pulmonary function	Other measurement
158	GCST000542	Pulmonary function	Pulmonary function	Other measurement
159	GCST000542	Pulmonary function	Pulmonary function	Other measurement
160	GCST000297	Bone mineral density (hip)	Bone mineral density (hip)	Other measurement
161	GCST000297	Bone mineral density (hip)	Bone mineral density (hip)	Other measurement
162	GCST000295	Bone mineral density (spine)	Bone mineral density (spine)	Other measurement
163	GCST000295	Bone mineral density (spine)	Bone mineral density (spine)	Other measurement
164	GCST000170	Lung cancer	Lung cancer	Cancer
165	GCST000170	Lung cancer	Lung cancer	Cancer
166	GCST000170	Lung cancer	Lung cancer	Cancer
167	GCST000172	Lung cancer	Lung cancer	Cancer
168	GCST000172	Lung cancer	Lung cancer	Cancer
169	GCST000172	Lung cancer	Lung cancer	Cancer
170	GCST000529	Ulcerative colitis	Ulcerative colitis	Immune system disorder
171	GCST000428	Adiposity	Adiposity	Metabolic disorder
172	GCST000427	Waist circumference	Waist circumference	Body measurement
173	GCST001799	Prostate-specific antigen levels	Prostate-specific antigen levels	Other measurement
174	GCST000479	Alzheimer's disease	Alzheimer's disease	Neurological disorder
175	GCST001023	Idiopathic dilated cardiomyopathy	Idiopathic dilated cardiomyopathy	Cardiovascular disease
176	GCST001023	Idiopathic dilated cardiomyopathy	Idiopathic dilated cardiomyopathy	Cardiovascular disease
177	GCST000437	Melanoma	Melanoma	Cancer
178	GCST000575	Osteoporosis-related phenotypes	Osteoporosis-related phenotypes	Other disease
179	GCST000438	Cutaneous nevi	Cutaneous nevi	Cancer
180	GCST000607	Schizophrenia	Schizophrenia	Neurological disorder
181	GCST000439	Glioma	Glioma	Cancer
182	GCST000439	Glioma	Glioma	Cancer
183	GCST000431	Height	Height	Other measurement
184	GCST000431	Height	Height	Body measurement
185	GCST000741	Glomerulosclerosis	Glomerulosclerosis	Other disease
186	GCST001010	Primary biliary cholangitis	Primary biliary cholangitis	Cancer
187	GCST001010	Primary biliary cholangitis	Primary biliary cholangitis	Cancer
188	GCST000449	Glaucoma (primary open-angle)	Glaucoma (primary open-angle)	Neurological disorder
189	GCST000960	Cardiac hypertrophy	Cardiac hypertrophy	Other trait
190	GCST000187	Breast cancer	Breast cancer	Cancer
191	GCST000223	Lung adenocarcinoma	Lung adenocarcinoma	Cancer
192	GCST000227	Uric acid levels	Uric acid levels	Cardiovascular measurement
193	GCST001829	Fat intake	Fat intake	Biological process
194	GCST000218	Sarcoidosis	Sarcoidosis	Other disease
195	GCST000459	Lung cancer	Lung cancer	Cancer
196	GCST000459	Lung cancer	Lung cancer	Cancer
197	GCST000459	Lung cancer	Lung cancer	Cancer
198	GCST000192	Blue vs. green eyes	Blue vs. green eyes	Other trait
199	GCST000196	Burning and freckling	Burning and freckling	Other disease
200	GCST000196	Burning and freckling	Burning and freckling	Other trait
201	GCST000197	Freckles	Freckles	Other trait
202	GCST000195	Skin sensitivity to sun	Skin sensitivity to sun	Immune system disorder
203	GCST000194	Blond vs. brown hair color	Blond vs. brown hair color	Other trait
204	GCST000193	Red vs. non-red hair color	Red vs. non-red hair color	Other trait
205	GCST000217	Rheumatoid arthritis	Rheumatoid arthritis	Immune system disorder
206	GCST000482	Amyotrophic lateral sclerosis (SNP x SNP interaction)	Amyotrophic lateral sclerosis (SNP x SNP interaction)	Neurological disorder
207	GCST002015	Personality dimensions	Personality dimensions	Other trait
208	GCST002016	Personality dimensions	Personality dimensions	Other trait
209	GCST000215	Schizophrenia	Schizophrenia	Neurological disorder
210	GCST000198	Melanoma	Melanoma	Cancer
211	GCST000363	QT interval	QT interval	Cardiovascular measurement
212	GCST000182	Bone mineral density	Bone mineral density	Other measurement
213	GCST000179	C-reactive protein	C-reactive protein	Inflammatory measurement
214	GCST000984	Idiopathic membranous nephropathy	Idiopathic membranous nephropathy	Other disease
215	GCST000906	Chronic lymphocytic leukemia	Chronic lymphocytic leukemia	Cancer
216	GCST000916	Endometriosis	Endometriosis	Other disease
217	GCST001045	Caudate nucleus volume	Caudate nucleus volume	Other measurement
218	GCST001045	Caudate nucleus volume	Caudate nucleus volume	Other measurement
219	GCST001024	Telomere length	Telomere length	Other measurement
220	GCST001851	Schizophrenia	Schizophrenia	Neurological disorder
221	GCST001041	Hepatocellular carcinoma	Hepatocellular carcinoma	Cancer
222	GCST000374	Atopic dermatitis	Atopic dermatitis	Immune system disorder
223	GCST000810	Lung adenocarcinoma	Lung adenocarcinoma	Cancer
224	GCST001948	Anxiety	Anxiety	Other measurement
225	GCST001948	Anxiety	Anxiety	Other trait
226	GCST001027	Uterine fibroids	Uterine fibroids	Cancer
227	GCST000763	Immunoglobulin A	Immunoglobulin A	Other measurement
228	GCST000694	Phytosterol levels	Phytosterol levels	Other measurement
229	GCST000729	Ribavirin-induced anemia	Ribavirin-induced anemia	Other trait
230	GCST000729	Ribavirin-induced anemia	Ribavirin-induced anemia	Response to drug
231	GCST001327	Memory performance	Memory performance	Other measurement
232	GCST000506	Lung adenocarcinoma	Lung adenocarcinoma	Cancer
233	GCST000389	Asthma	Asthma	Other disease
234	GCST001325	Response to hepatitis C treatment	Response to hepatitis C treatment	Digestive system disorder
235	GCST001339	Corneal astigmatism	Corneal astigmatism	Neurological disorder
236	GCST001339	Corneal astigmatism	Corneal astigmatism	Other trait
237	GCST000404	Menarche (age at onset)	Menarche (age at onset)	Other measurement
238	GCST000185	Body mass index	Body mass index	Body measurement
239	GCST000185	Body mass index	Body mass index	Body measurement
240	GCST000185	Body mass index	Body mass index	Other measurement
241	GCST000018	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
242	GCST000018	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
243	GCST000184	Waist circumference and related phenotypes	Waist circumference and related phenotypes	Body measurement
244	GCST000184	Waist circumference and related phenotypes	Waist circumference and related phenotypes	Lipid or lipoprotein measurement
245	GCST000184	Waist circumference and related phenotypes	Waist circumference and related phenotypes	Lipid or lipoprotein measurement
246	GCST000021	Nicotine dependence	Nicotine dependence	Neurological disorder
247	GCST000509	Response to citalopram treatment	Response to citalopram treatment	Response to drug
248	GCST000284	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
249	GCST000283	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
250	GCST000283	LDL cholesterol	LDL cholesterol	Other measurement
251	GCST000283	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
252	GCST000292	Metabolic traits	Metabolic traits	Other measurement
253	GCST000292	Metabolic traits	Metabolic traits	Biological process
254	GCST000292	Metabolic traits	Metabolic traits	Lipid or lipoprotein measurement
255	GCST000292	Metabolic traits	Metabolic traits	Other measurement
256	GCST000292	Metabolic traits	Metabolic traits	Other measurement
257	GCST000020	End-stage renal disease	End-stage renal disease	Other disease
258	GCST000264	Nicotine dependence	Nicotine dependence	Neurological disorder
259	GCST000114	Skin pigmentation	Skin pigmentation	Other trait
260	GCST000114	Skin pigmentation	Skin pigmentation	Other measurement
261	GCST000467	Response to clopidogrel therapy	Response to clopidogrel therapy	Response to drug
262	GCST000467	Response to clopidogrel therapy	Response to clopidogrel therapy	Cardiovascular measurement
263	GCST000467	Response to clopidogrel therapy	Response to clopidogrel therapy	Response to drug
264	GCST000306	Blood pressure	Blood pressure	Other measurement
265	GCST000306	Blood pressure	Blood pressure	Other measurement
266	GCST000306	Blood pressure	Blood pressure	Other measurement
267	GCST000306	Blood pressure	Blood pressure	Other measurement
268	GCST000306	Blood pressure	Blood pressure	Cardiovascular measurement
269	GCST000401	Menopause (age at onset)	Menopause (age at onset)	Other measurement
270	GCST001399	Infantile hypertrophic pyloric stenosis	Infantile hypertrophic pyloric stenosis	Digestive system disorder
271	GCST000415	Drug-induced liver injury (flucloxacillin)	Drug-induced liver injury (flucloxacillin)	Digestive system disorder
272	GCST000368	Fibrinogen	Fibrinogen	Hematological measurement
273	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
274	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
275	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
276	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
277	GCST000409	Obesity-related traits	Obesity-related traits	Liver enzyme measurement
278	GCST000409	Obesity-related traits	Obesity-related traits	Liver enzyme measurement
279	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
280	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
281	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
282	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
283	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
284	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
285	GCST000409	Obesity-related traits	Obesity-related traits	Cardiovascular measurement
286	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
287	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
288	GCST000409	Obesity-related traits	Obesity-related traits	Inflammatory measurement
289	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
290	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
291	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
292	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
293	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
294	GCST000409	Obesity-related traits	Obesity-related traits	Lipid or lipoprotein measurement
295	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
296	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
297	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
298	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
299	GCST000409	Obesity-related traits	Obesity-related traits	Biological process
300	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
301	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
302	GCST000409	Obesity-related traits	Obesity-related traits	Inflammatory measurement
303	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
304	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
305	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
306	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
307	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
308	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
309	GCST000409	Obesity-related traits	Obesity-related traits	Lipid or lipoprotein measurement
310	GCST000409	Obesity-related traits	Obesity-related traits	Lipid or lipoprotein measurement
311	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
312	GCST000409	Obesity-related traits	Obesity-related traits	Inflammatory measurement
313	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
314	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
315	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
316	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
317	GCST000409	Obesity-related traits	Obesity-related traits	Body measurement
318	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
319	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
320	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
321	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
322	GCST000409	Obesity-related traits	Obesity-related traits	Cardiovascular measurement
323	GCST000409	Obesity-related traits	Obesity-related traits	Lipid or lipoprotein measurement
324	GCST000409	Obesity-related traits	Obesity-related traits	Metabolic disorder
325	GCST000409	Obesity-related traits	Obesity-related traits	Cardiovascular measurement
326	GCST000409	Obesity-related traits	Obesity-related traits	Lipid or lipoprotein measurement
327	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
328	GCST000409	Obesity-related traits	Obesity-related traits	Inflammatory measurement
329	GCST000409	Obesity-related traits	Obesity-related traits	Inflammatory measurement
330	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
331	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
332	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
333	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
334	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
335	GCST000409	Obesity-related traits	Obesity-related traits	Inflammatory measurement
336	GCST000409	Obesity-related traits	Obesity-related traits	Biological process
337	GCST000409	Obesity-related traits	Obesity-related traits	Biological process
338	GCST000409	Obesity-related traits	Obesity-related traits	Other measurement
339	GCST000424	Multiple sclerosis	Multiple sclerosis	Immune system disorder
340	GCST000495	Bone mineral density (hip)	Bone mineral density (hip)	Other measurement
341	GCST000495	Bone mineral density (hip)	Bone mineral density (hip)	Other measurement
342	GCST000494	Bone mineral density (spine)	Bone mineral density (spine)	Other measurement
343	GCST000494	Bone mineral density (spine)	Bone mineral density (spine)	Other measurement
344	GCST000426	Obesity (extreme)	Obesity (extreme)	Metabolic disorder
345	GCST000426	Obesity (extreme)	Obesity (extreme)	Body measurement
346	GCST000399	Behcet's disease	Behcet's disease	Cardiovascular disease
347	GCST000205	Fasting plasma glucose	Fasting plasma glucose	Other measurement
348	GCST000156	Methamphetamine dependence	Methamphetamine dependence	Neurological disorder
349	GCST000156	Methamphetamine dependence	Methamphetamine dependence	Neurological disorder
350	GCST000408	Primary biliary cholangitis	Primary biliary cholangitis	Cancer
351	GCST000408	Primary biliary cholangitis	Primary biliary cholangitis	Cancer
352	GCST000487	AIDS	AIDS	Immune system disorder
353	GCST000484	Alzheimer's disease	Alzheimer's disease	Neurological disorder
354	GCST000429	Kidney stones	Kidney stones	Other disease
355	GCST001969	Heart rate	Heart rate	Cardiovascular measurement
356	GCST000447	Hypertension	Hypertension	Cardiovascular disease
357	GCST001591	Response to citalopram treatment	Response to citalopram treatment	Response to drug
358	GCST000458	Orofacial clefts	Orofacial clefts	Other trait
359	GCST000458	Orofacial clefts	Orofacial clefts	Other measurement
360	GCST000458	Orofacial clefts	Orofacial clefts	Other disease
361	GCST000458	Orofacial clefts	Orofacial clefts	Other trait
362	GCST000204	Warfarin maintenance dose	Warfarin maintenance dose	Response to drug
363	GCST000463	Acute lymphoblastic leukemia (childhood)	Acute lymphoblastic leukemia (childhood)	Cancer
364	GCST000804	Asthma	Asthma	Other disease
365	GCST000461	Hippocampal atrophy	Hippocampal atrophy	Neurological disorder
366	GCST000450	Matrix metalloproteinase levels	Matrix metalloproteinase levels	Other measurement
367	GCST000829	Waist-hip ratio	Waist-hip ratio	Other measurement
368	GCST000829	Waist-hip ratio	Waist-hip ratio	Body measurement
369	GCST000460	Nasopharyngeal carcinoma	Nasopharyngeal carcinoma	Cancer
370	GCST000548	Asthma	Asthma	Other disease
371	GCST001048	Monocyte early outgrowth colony forming units	Monocyte early outgrowth colony forming units	Other measurement
372	GCST000240	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
373	GCST000551	Major depressive disorder (broad)	Major depressive disorder (broad)	Neurological disorder
374	GCST000518	End-stage renal disease	End-stage renal disease	Other disease
375	GCST000496	Autism	Autism	Neurological disorder
376	GCST001389	Lymphocyte counts	Lymphocyte counts	Hematological measurement
377	GCST000968	Response to platinum-based chemotherapy in head and neck cancers	Response to platinum-based chemotherapy in head and neck cancers	Response to drug
378	GCST000967	Response to platinum-based chemotherapy in head and neck cancers	Response to platinum-based chemotherapy in head and neck cancers	Response to drug
379	GCST000423	Homocysteine levels	Homocysteine levels	Cardiovascular measurement
380	GCST000549	HIV-1 control	HIV-1 control	Other disease
381	GCST000433	Schizophrenia	Schizophrenia	Neurological disorder
382	GCST000768	Asthma	Asthma	Other disease
383	GCST000537	Adiponectin levels	Adiponectin levels	Other measurement
384	GCST000492	Speech perception in dyslexia	Speech perception in dyslexia	Biological process
385	GCST000595	Frontotemporal lobar degeneration	Frontotemporal lobar degeneration	Neurological disorder
386	GCST000815	Non-small cell lung cancer	Non-small cell lung cancer	Cancer
